onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	3761084	53.045717	4
36	15	2	imagery	3761084	53.045717	4
51	3	2	evaluation	3761084	53.045717	4
54	3	2	inter_rest	3761084	53.045717	4
57	3	3	cue	1943899	77.255974	4
60	15	3	imagery	1943899	77.255974	4
75	3	3	evaluation	1943899	77.255974	4
78	3	3	inter_rest	1943899	77.255974	4
81	3	4	cue	4387400	101.065149	3
84	15	4	imagery	4387400	101.065149	3
99	3	4	evaluation	4387400	101.065149	3
102	3	4	inter_rest	4387400	101.065149	3
105	3	5	cue	4507155	124.624938	4
108	15	5	imagery	4507155	124.624938	4
123	3	5	evaluation	4507155	124.624938	4
126	3	5	inter_rest	4507155	124.624938	4
129	3	6	cue	2128385	148.669898	4
132	15	6	imagery	2128385	148.669898	4
147	3	6	evaluation	2128385	148.669898	4
150	3	6	inter_rest	2128385	148.669898	4
153	3	7	cue	3064758	173.296437	3
156	15	7	imagery	3064758	173.296437	3
171	3	7	evaluation	3064758	173.296437	3
174	3	7	inter_rest	3064758	173.296437	3
177	3	8	cue	3452741	198.139067	4
180	15	8	imagery	3452741	198.139067	4
195	3	8	evaluation	3452741	198.139067	4
198	3	8	inter_rest	3452741	198.139067	4
201	3	9	cue	2416519	220.832629	3
204	15	9	imagery	2416519	220.832629	3
219	3	9	evaluation	2416519	220.832629	3
222	3	9	inter_rest	2416519	220.832629	3
225	3	10	cue	3767745	245.144174	4
228	15	10	imagery	3767745	245.144174	4
243	3	10	evaluation	3767745	245.144174	4
246	3	10	inter_rest	3767745	245.144174	4
249	3	11	cue	3954393	269.085260	4
252	15	11	imagery	3954393	269.085260	4
267	3	11	evaluation	3954393	269.085260	4
270	3	11	inter_rest	3954393	269.085260	4
273	3	12	cue	3941684	292.630702	4
276	15	12	imagery	3941684	292.630702	4
291	3	12	evaluation	3941684	292.630702	4
294	3	12	inter_rest	3941684	292.630702	4
297	3	13	cue	2951358	0.000000	1
300	15	13	imagery	2951358	0.000000	1
315	3	13	evaluation	2951358	0.000000	1
318	3	13	inter_rest	2951358	0.000000	1
321	3	14	cue	2882301	340.735262	4
324	15	14	imagery	2882301	340.735262	4
339	3	14	evaluation	2882301	340.735262	4
342	3	14	inter_rest	2882301	340.735262	4
345	3	15	cue	1443537	0.000000	1
348	15	15	imagery	1443537	0.000000	1
363	3	15	evaluation	1443537	0.000000	1
366	3	15	inter_rest	1443537	0.000000	1
369	3	16	cue	4252077	389.618709	4
372	15	16	imagery	4252077	389.618709	4
387	3	16	evaluation	4252077	389.618709	4
390	3	16	inter_rest	4252077	389.618709	4
393	3	17	cue	4533802	0.000000	1
396	15	17	imagery	4533802	0.000000	1
411	3	17	evaluation	4533802	0.000000	1
414	3	17	inter_rest	4533802	0.000000	1
417	3	18	cue	2274259	436.923090	4
420	15	18	imagery	2274259	436.923090	4
435	3	18	evaluation	2274259	436.923090	4
438	3	18	inter_rest	2274259	436.923090	4
441	3	19	cue	2190790	0.000000	1
444	15	19	imagery	2190790	0.000000	1
459	3	19	evaluation	2190790	0.000000	1
462	3	19	inter_rest	2190790	0.000000	1
465	3	20	cue	2437136	484.641902	3
468	15	20	imagery	2437136	484.641902	3
483	3	20	evaluation	2437136	484.641902	3
486	3	20	inter_rest	2437136	484.641902	3
489	3	21	cue	3495258	508.836070	4
492	15	21	imagery	3495258	508.836070	4
507	3	21	evaluation	3495258	508.836070	4
510	3	21	inter_rest	3495258	508.836070	4
513	3	22	cue	2437971	532.728360	3
516	15	22	imagery	2437971	532.728360	3
531	3	22	evaluation	2437971	532.728360	3
534	3	22	inter_rest	2437971	532.728360	3
537	3	23	cue	2690373	556.438375	3
540	15	23	imagery	2690373	556.438375	3
555	3	23	evaluation	2690373	556.438375	3
558	3	23	inter_rest	2690373	556.438375	3
561	3	24	cue	2139199	580.316271	4
564	15	24	imagery	2139199	580.316271	4
579	3	24	evaluation	2139199	580.316271	4
582	3	24	inter_rest	2139199	580.316271	4
585	3	25	cue	4210120	604.861474	4
588	15	25	imagery	4210120	604.861474	4
603	3	25	evaluation	4210120	604.861474	4
606	3	25	inter_rest	4210120	604.861474	4
609	3	26	cue	4297750	629.938540	4
612	15	26	imagery	4297750	629.938540	4
627	3	26	evaluation	4297750	629.938540	4
630	3	26	inter_rest	4297750	629.938540	4
633	6	27	rest	n/a	n/a	n/a
