onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	3815615.007628	n03815615_7628	98	783	n/a
42	9	3	stimulus	3085219.008998	n03085219_8998	59	472	n/a
51	9	4	stimulus	3085219.008998	n03085219_8998	59	472	52.035670
60	9	5	stimulus	3255030.003029	n03255030_3029	62	492	n/a
69	9	6	stimulus	3255030.003029	n03255030_3029	62	492	70.043165
78	9	7	stimulus	3400231.005694	n03400231_5694	69	551	n/a
87	9	8	stimulus	3982430.009407	n03982430_9407	104	832	n/a
96	9	9	stimulus	4591713.006759	n04591713_6759	141	1127	n/a
105	9	10	stimulus	2472293.000131	n02472293_131	35	274	n/a
114	9	11	stimulus	7734744.006229	n07734744_6229	144	1149	n/a
123	9	12	stimulus	2445715.012246	n02445715_12246	34	266	n/a
132	9	13	stimulus	3790512.040609	n03790512_40609	95	759	n/a
141	9	14	stimulus	2226429.013460	n02226429_13460	25	195	n/a
150	9	15	stimulus	1772222.012347	n01772222_12347	9	69	n/a
159	9	16	stimulus	1768244.006450	n01768244_6450	7	51	n/a
168	9	17	stimulus	3467796.006847	n03467796_6847	73	582	n/a
177	9	18	stimulus	3445777.009159	n03445777_9159	72	575	n/a
186	9	19	stimulus	3445777.009159	n03445777_9159	72	575	187.041639
195	9	20	stimulus	4409515.001600	n04409515_1600	130	1034	n/a
204	9	21	stimulus	4409515.001600	n04409515_1600	130	1034	n/a
213	9	22	stimulus	3918737.015240	n03918737_15240	101	802	n/a
222	9	23	stimulus	1645776.008879	n01645776_8879	3	20	n/a
231	9	24	stimulus	4482393.018295	n04482393_18295	137	1092	n/a
240	9	25	stimulus	3079230.016134	n03079230_16134	57	450	n/a
249	9	26	stimulus	3602883.015696	n03602883_15696	82	653	n/a
258	9	27	stimulus	3602883.015696	n03602883_15696	82	653	263.040096
267	9	28	stimulus	4044716.007225	n04044716_7225	106	847	n/a
276	9	29	stimulus	1877134.010188	n01877134_10188	14	105	n/a
285	9	30	stimulus	2432983.013166	n02432983_13166	32	249	n/a
294	9	31	stimulus	2233338.017205	n02233338_17205	26	203	n/a
303	9	32	stimulus	3496296.011413	n03496296_11413	77	610	n/a
312	9	33	stimulus	7758680.013497	n07758680_13497	146	1163	n/a
321	9	34	stimulus	4376876.028833	n04376876_28833	127	1015	n/a
330	9	35	stimulus	3543603.005942	n03543603_5942	80	636	n/a
339	9	36	stimulus	4146614.016469	n04146614_16469	112	891	n/a
348	9	37	stimulus	3359137.026112	n03359137_26112	66	524	n/a
357	9	38	stimulus	2974003.008115	n02974003_8115	53	422	n/a
366	9	39	stimulus	4419073.017022	n04419073_17022	133	1061	n/a
375	9	40	stimulus	4197391.003999	n04197391_3999	116	925	n/a
384	9	41	stimulus	3609235.004886	n03609235_4886	84	670	n/a
393	9	42	stimulus	3837869.004261	n03837869_4261	99	786	n/a
402	9	43	stimulus	4320973.021297	n04320973_21297	125	997	n/a
411	9	44	stimulus	2236241.006815	n02236241_6815	27	214	n/a
420	9	45	stimulus	2885462.009267	n02885462_9267	51	407	n/a
429	9	46	stimulus	1787835.011338	n01787835_11338	11	83	n/a
438	9	47	stimulus	2802215.017477	n02802215_17477	45	354	n/a
447	9	48	stimulus	3541923.002848	n03541923_2848	79	626	n/a
456	9	49	stimulus	4477387.007671	n04477387_7671	136	1087	n/a
465	9	50	stimulus	1855672.015310	n01855672_15310	13	101	n/a
474	9	51	stimulus	3063599.004177	n03063599_4177	56	445	n/a
483	9	52	stimulus	7756951.014073	n07756951_14073	145	1154	n/a
492	9	53	stimulus	2054036.005709	n02054036_5709	19	150	n/a
501	9	54	stimulus	1639765.047681	n01639765_47681	2	14	n/a
510	9	55	stimulus	3397947.007453	n03397947_7453	68	542	n/a
519	9	56	stimulus	2508213.010059	n02508213_10059	39	305	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
