onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n02769748_20423.JPEG	0.000000
42	9	3	stimulus	n04442441_4452.JPEG	0.000000
51	9	4	stimulus	n01855672_14080.JPEG	0.000000
60	9	5	stimulus	n01772222_10420.JPEG	0.000000
69	9	6	stimulus	n03255030_8996.JPEG	0.000000
78	9	7	stimulus	n02054036_9789.JPEG	0.000000
87	9	8	stimulus	n12596148_4874.JPEG	0.000000
96	9	9	stimulus	n03038480_1066.JPEG	0.000000
105	9	10	stimulus	n03541923_3237.JPEG	0.000000
114	9	11	stimulus	n03483823_7612.JPEG	0.000000
123	9	12	stimulus	n03924679_6907.JPEG	0.000000
132	9	13	stimulus	n12582231_18321.JPEG	0.000000
141	9	14	stimulus	n12582231_18321.JPEG	142.041458
150	9	15	stimulus	n02068974_2736.JPEG	0.000000
159	9	16	stimulus	n03261776_13358.JPEG	0.000000
168	9	17	stimulus	n07734744_18574.JPEG	0.000000
177	9	18	stimulus	n04409806_7672.JPEG	0.000000
186	9	19	stimulus	n04197391_6992.JPEG	0.000000
195	9	20	stimulus	n02692877_14682.JPEG	0.000000
204	9	21	stimulus	n03494278_30876.JPEG	0.000000
213	9	22	stimulus	n04442312_24134.JPEG	0.000000
222	9	23	stimulus	n04180888_3216.JPEG	0.000000
231	9	24	stimulus	n02226429_9440.JPEG	0.000000
240	9	25	stimulus	n02090827_11579.JPEG	0.000000
249	9	26	stimulus	n04320973_5946.JPEG	0.000000
258	9	27	stimulus	n04320973_5946.JPEG	261.425178
267	9	28	stimulus	n04113406_10672.JPEG	0.000000
276	9	29	stimulus	n01963571_19280.JPEG	0.000000
285	9	30	stimulus	n03665924_44847.JPEG	0.000000
294	9	31	stimulus	n03837869_7066.JPEG	0.000000
303	9	32	stimulus	n01518878_8432.JPEG	0.000000
312	9	33	stimulus	n03472535_4373.JPEG	0.000000
321	9	34	stimulus	n01704323_8767.JPEG	0.000000
330	9	35	stimulus	n02998003_7158.JPEG	0.000000
339	9	36	stimulus	n01726692_30357.JPEG	0.000000
348	9	37	stimulus	n01726692_30357.JPEG	353.397746
357	9	38	stimulus	n07758680_11558.JPEG	0.000000
366	9	39	stimulus	n02055803_7877.JPEG	0.000000
375	9	40	stimulus	n04409515_3798.JPEG	0.000000
384	9	41	stimulus	n04284002_15184.JPEG	0.000000
393	9	42	stimulus	n07756951_9462.JPEG	0.000000
402	9	43	stimulus	n07756951_9462.JPEG	408.035587
411	9	44	stimulus	n03646296_1689.JPEG	0.000000
420	9	45	stimulus	n01877134_11538.JPEG	0.000000
429	9	46	stimulus	n03345487_15782.JPEG	0.000000
438	9	47	stimulus	n03345487_15782.JPEG	439.048541
447	9	48	stimulus	n03543603_8721.JPEG	0.000000
456	9	49	stimulus	n02005790_7527.JPEG	0.000000
465	9	50	stimulus	n04009552_5313.JPEG	0.000000
474	9	51	stimulus	n02843158_4722.JPEG	0.000000
483	9	52	stimulus	n04123740_8706.JPEG	0.000000
492	9	53	stimulus	n03394916_30808.JPEG	0.000000
501	9	54	stimulus	n02432983_9121.JPEG	0.000000
510	9	55	stimulus	n02882647_20395.JPEG	0.000000
519	9	56	stimulus	n13111881_11914.JPEG	0.000000
528	6	57	rest	n/a	0.000000
