onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	n04507155	52.537870	5
36	15	2	imagery	n04507155	52.537870	5
51	3	2	evaluation	n04507155	52.537870	5
54	3	2	inter_rest	n04507155	52.537870	5
57	3	3	cue	n03379051	76.668040	4
60	15	3	imagery	n03379051	76.668040	4
75	3	3	evaluation	n03379051	76.668040	4
78	3	3	inter_rest	n03379051	76.668040	4
81	3	4	cue	n02882301	100.390918	4
84	15	4	imagery	n02882301	100.390918	4
99	3	4	evaluation	n02882301	100.390918	4
102	3	4	inter_rest	n02882301	100.390918	4
105	3	5	cue	n02951358	124.519586	4
108	15	5	imagery	n02951358	124.519586	4
123	3	5	evaluation	n02951358	124.519586	4
126	3	5	inter_rest	n02951358	124.519586	4
129	3	6	cue	n02416519	148.280008	4
132	15	6	imagery	n02416519	148.280008	4
147	3	6	evaluation	n02416519	148.280008	4
150	3	6	inter_rest	n02416519	148.280008	4
153	3	7	cue	n03455488	172.287922	5
156	15	7	imagery	n03455488	172.287922	5
171	3	7	evaluation	n03455488	172.287922	5
174	3	7	inter_rest	n03455488	172.287922	5
177	3	8	cue	n03495258	196.781165	5
180	15	8	imagery	n03495258	196.781165	5
195	3	8	evaluation	n03495258	196.781165	5
198	3	8	inter_rest	n03495258	196.781165	5
201	3	9	cue	n03237416	220.376317	5
204	15	9	imagery	n03237416	220.376317	5
219	3	9	evaluation	n03237416	220.376317	5
222	3	9	inter_rest	n03237416	220.376317	5
225	3	10	cue	n04210120	244.519250	5
228	15	10	imagery	n04210120	244.519250	5
243	3	10	evaluation	n04210120	244.519250	5
246	3	10	inter_rest	n04210120	244.519250	5
249	3	11	cue	n02190790	268.111694	5
252	15	11	imagery	n02190790	268.111694	5
267	3	11	evaluation	n02190790	268.111694	5
270	3	11	inter_rest	n02190790	268.111694	5
273	3	12	cue	n03710193	292.387937	5
276	15	12	imagery	n03710193	292.387937	5
291	3	12	evaluation	n03710193	292.387937	5
294	3	12	inter_rest	n03710193	292.387937	5
297	3	13	cue	n01443537	316.080852	5
300	15	13	imagery	n01443537	316.080852	5
315	3	13	evaluation	n01443537	316.080852	5
318	3	13	inter_rest	n01443537	316.080852	5
321	3	14	cue	n03452741	340.175055	5
324	15	14	imagery	n03452741	340.175055	5
339	3	14	evaluation	n03452741	340.175055	5
342	3	14	inter_rest	n03452741	340.175055	5
345	3	15	cue	n01976957	364.186270	5
348	15	15	imagery	n01976957	364.186270	5
363	3	15	evaluation	n01976957	364.186270	5
366	3	15	inter_rest	n01976957	364.186270	5
369	3	16	cue	n04572121	388.561098	4
372	15	16	imagery	n04572121	388.561098	4
387	3	16	evaluation	n04572121	388.561098	4
390	3	16	inter_rest	n04572121	388.561098	4
393	3	17	cue	n04554684	412.237643	5
396	15	17	imagery	n04554684	412.237643	5
411	3	17	evaluation	n04554684	412.237643	5
414	3	17	inter_rest	n04554684	412.237643	5
417	3	18	cue	n02950256	437.381281	3
420	15	18	imagery	n02950256	437.381281	3
435	3	18	evaluation	n02950256	437.381281	3
438	3	18	inter_rest	n02950256	437.381281	3
441	3	19	cue	n02274259	460.459972	5
444	15	19	imagery	n02274259	460.459972	5
459	3	19	evaluation	n02274259	460.459972	5
462	3	19	inter_rest	n02274259	460.459972	5
465	3	20	cue	n04252077	484.520578	5
468	15	20	imagery	n04252077	484.520578	5
483	3	20	evaluation	n04252077	484.520578	5
486	3	20	inter_rest	n04252077	484.520578	5
489	3	21	cue	n01858441	508.997036	4
492	15	21	imagery	n01858441	508.997036	4
507	3	21	evaluation	n01858441	508.997036	4
510	3	21	inter_rest	n01858441	508.997036	4
513	3	22	cue	n03716966	532.387477	4
516	15	22	imagery	n03716966	532.387477	4
531	3	22	evaluation	n03716966	532.387477	4
534	3	22	inter_rest	n03716966	532.387477	4
537	3	23	cue	n02797295	556.231856	4
540	15	23	imagery	n02797295	556.231856	4
555	3	23	evaluation	n02797295	556.231856	4
558	3	23	inter_rest	n02797295	556.231856	4
561	3	24	cue	n03954393	580.060631	4
564	15	24	imagery	n03954393	580.060631	4
579	3	24	evaluation	n03954393	580.060631	4
582	3	24	inter_rest	n03954393	580.060631	4
585	3	25	cue	n02824058	604.686733	3
588	15	25	imagery	n02824058	604.686733	3
603	3	25	evaluation	n02824058	604.686733	3
606	3	25	inter_rest	n02824058	604.686733	3
609	3	26	cue	n03941684	628.644563	5
612	15	26	imagery	n03941684	628.644563	5
627	3	26	evaluation	n03941684	628.644563	5
630	3	26	inter_rest	n03941684	628.644563	5
633	6	27	rest	n/a	n/a	n/a
