onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n04612026_5059.JPEG	0.000000
42	9	3	stimulus	n03085013_23800.JPEG	0.000000
51	9	4	stimulus	n04168199_10897.JPEG	0.000000
60	9	5	stimulus	n02841315_10982.JPEG	0.000000
69	9	6	stimulus	n03512147_33515.JPEG	0.000000
78	9	7	stimulus	n02814860_12908.JPEG	0.000000
87	9	8	stimulus	n02814860_12908.JPEG	88.050319
96	9	9	stimulus	n02236241_7166.JPEG	0.000000
105	9	10	stimulus	n03602883_8804.JPEG	0.000000
114	9	11	stimulus	n03209910_29141.JPEG	0.000000
123	9	12	stimulus	n04419073_11195.JPEG	0.000000
132	9	13	stimulus	n02943871_3559.JPEG	0.000000
141	9	14	stimulus	n03792782_5665.JPEG	0.000000
150	9	15	stimulus	n02391049_4569.JPEG	0.000000
159	9	16	stimulus	n03607659_7355.JPEG	0.000000
168	9	17	stimulus	n02885462_13911.JPEG	0.000000
177	9	18	stimulus	n03436182_12885.JPEG	0.000000
186	9	19	stimulus	n03746005_7486.JPEG	0.000000
195	9	20	stimulus	n02439033_4722.JPEG	0.000000
204	9	21	stimulus	n02439033_4722.JPEG	205.036824
213	9	22	stimulus	n01944390_21065.JPEG	0.000000
222	9	23	stimulus	n04272054_56965.JPEG	0.000000
231	9	24	stimulus	n03609235_7270.JPEG	0.000000
240	9	25	stimulus	n01645776_9743.JPEG	0.000000
249	9	26	stimulus	n02503517_4892.JPEG	0.000000
258	9	27	stimulus	n04146614_6366.JPEG	0.000000
267	9	28	stimulus	n04591713_4821.JPEG	0.000000
276	9	29	stimulus	n04373894_22727.JPEG	0.000000
285	9	30	stimulus	n04477387_1527.JPEG	0.000000
294	9	31	stimulus	n03886762_21877.JPEG	0.000000
303	9	32	stimulus	n04313503_17853.JPEG	0.000000
312	9	33	stimulus	n02508213_13464.JPEG	0.000000
321	9	34	stimulus	n03612010_2887.JPEG	0.000000
330	9	35	stimulus	n02481823_18421.JPEG	0.000000
339	9	36	stimulus	n03743279_8976.JPEG	0.000000
348	9	37	stimulus	n02374451_17284.JPEG	0.000000
357	9	38	stimulus	n02374451_17284.JPEG	358.032675
366	9	39	stimulus	n04154565_13637.JPEG	0.000000
375	9	40	stimulus	n04273569_14844.JPEG	0.000000
384	9	41	stimulus	n04255586_878.JPEG	0.000000
393	9	42	stimulus	n04398044_16414.JPEG	0.000000
402	9	43	stimulus	n02480855_13432.JPEG	0.000000
411	9	44	stimulus	n02480855_13432.JPEG	412.038478
420	9	45	stimulus	n03815615_29630.JPEG	428.278925
429	9	46	stimulus	n03496296_14487.JPEG	0.000000
438	9	47	stimulus	n04401680_28024.JPEG	0.000000
447	9	48	stimulus	n04225987_5124.JPEG	0.000000
456	9	49	stimulus	n04376876_14622.JPEG	0.000000
465	9	50	stimulus	n01768244_9298.JPEG	0.000000
474	9	51	stimulus	n01770393_10195.JPEG	0.000000
483	9	52	stimulus	n04090263_16066.JPEG	0.000000
492	9	53	stimulus	n03950228_32200.JPEG	0.000000
501	9	54	stimulus	n04555897_23902.JPEG	0.000000
510	9	55	stimulus	n03359137_39086.JPEG	0.000000
519	9	56	stimulus	n03359137_39086.JPEG	520.033438
528	6	57	rest	n/a	0.000000
