onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.000000
33	9	2	stimulus	3649909.016050	n03649909_16050	89	708	0.000000
42	9	3	stimulus	3649909.016050	n03649909_16050	89	708	43.035737
51	9	4	stimulus	2808440.015163	n02808440_15163	46	362	0.000000
60	9	5	stimulus	3397947.008954	n03397947_8954	68	543	0.000000
69	9	6	stimulus	4044716.008619	n04044716_8619	106	848	0.000000
78	9	7	stimulus	3425413.020974	n03425413_20974	70	557	0.000000
87	9	8	stimulus	2445715.003558	n02445715_3558	34	270	0.000000
96	9	9	stimulus	1664990.019129	n01664990_19129	4	29	0.000000
105	9	10	stimulus	1784675.020773	n01784675_20773	10	78	0.000000
114	9	11	stimulus	3623556.017722	n03623556_17722	86	683	0.000000
123	9	12	stimulus	2766534.018271	n02766534_18271	41	325	0.000000
132	9	13	stimulus	1787835.013122	n01787835_13122	11	86	0.000000
141	9	14	stimulus	1787835.013122	n01787835_13122	11	86	142.043541
150	9	15	stimulus	3790512.041520	n03790512_41520	95	760	0.000000
159	9	16	stimulus	4482393.013270	n04482393_13270	137	1089	0.000000
168	9	17	stimulus	4482393.013270	n04482393_13270	137	1089	169.037986
177	9	18	stimulus	4497801.011780	n04497801_11780	138	1097	0.000000
186	9	19	stimulus	3982430.026431	n03982430_26431	104	827	0.000000
195	9	20	stimulus	3544143.018625	n03544143_18625	81	644	0.000000
204	9	21	stimulus	3335030.041867	n03335030_41867	64	510	0.000000
213	9	22	stimulus	3187595.003646	n03187595_3646	60	474	0.000000
222	9	23	stimulus	2317335.030508	n02317335_30508	28	223	0.000000
231	9	24	stimulus	3079230.033060	n03079230_33060	57	454	0.000000
240	9	25	stimulus	4254680.010097	n04254680_10097	119	945	0.000000
249	9	26	stimulus	3642806.015854	n03642806_15854	87	690	0.000000
258	9	27	stimulus	1639765.040261	n01639765_40261	2	12	0.000000
267	9	28	stimulus	2799175.007198	n02799175_7198	43	343	0.000000
276	9	29	stimulus	3721384.014643	n03721384_14643	91	721	0.000000
285	9	30	stimulus	2233338.003494	n02233338_3494	26	206	0.000000
294	9	31	stimulus	1833805.009089	n01833805_9089	12	96	0.000000
303	9	32	stimulus	4587559.006132	n04587559_6132	140	1119	0.000000
312	9	33	stimulus	4233124.024091	n04233124_24091	118	944	0.000000
321	9	34	stimulus	3467796.005051	n03467796_5051	73	580	0.000000
330	9	35	stimulus	2131653.006220	n02131653_6220	24	191	0.000000
339	9	36	stimulus	7734017.002386	n07734017_2386	143	1140	0.000000
348	9	37	stimulus	11978233.028156	n11978233_28156	147	1174	0.000000
357	9	38	stimulus	4412416.014153	n04412416_14153	132	1052	0.000000
366	9	39	stimulus	4412416.014153	n04412416_14153	132	1052	366.521203
375	9	40	stimulus	2084071.027182	n02084071_27182	22	173	0.000000
384	9	41	stimulus	3063599.003835	n03063599_3835	56	443	0.000000
393	9	42	stimulus	2800213.015518	n02800213_15518	44	347	0.000000
402	9	43	stimulus	2802215.021594	n02802215_21594	45	356	0.000000
411	9	44	stimulus	4086273.037855	n04086273_37855	108	863	0.000000
420	9	45	stimulus	3793489.007412	n03793489_7412	97	775	0.000000
429	9	46	stimulus	2346627.022283	n02346627_22283	29	229	0.000000
438	9	47	stimulus	2974003.006740	n02974003_6740	53	421	0.000000
447	9	48	stimulus	4070727.021435	n04070727_21435	107	852	0.000000
456	9	49	stimulus	3918737.008191	n03918737_8191	101	808	0.000000
465	9	50	stimulus	3445777.010587	n03445777_10587	72	569	0.000000
474	9	51	stimulus	3085219.007432	n03085219_7432	59	471	0.000000
483	9	52	stimulus	3085219.007432	n03085219_7432	59	471	489.155314
492	9	53	stimulus	3400231.008108	n03400231_8108	69	552	0.000000
501	9	54	stimulus	2472293.046249	n02472293_46249	35	279	0.000000
510	9	55	stimulus	3760671.009669	n03760671_9669	94	752	0.000000
519	9	56	stimulus	1970164.012603	n01970164_12603	17	129	0.000000
528	6	57	rest	n/a	n/a	n/a	n/a	0.000000
