onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	2128385	51.955014	5
36	15	2	imagery	2128385	51.955014	5
51	3	2	evaluation	2128385	51.955014	5
54	3	2	inter_rest	2128385	51.955014	5
57	3	3	cue	2416519	75.714601	5
60	15	3	imagery	2416519	75.714601	5
75	3	3	evaluation	2416519	75.714601	5
78	3	3	inter_rest	2416519	75.714601	5
81	3	4	cue	2797295	100.141626	5
84	15	4	imagery	2797295	100.141626	5
99	3	4	evaluation	2797295	100.141626	5
102	3	4	inter_rest	2797295	100.141626	5
105	3	5	cue	4533802	124.135310	5
108	15	5	imagery	4533802	124.135310	5
123	3	5	evaluation	4533802	124.135310	5
126	3	5	inter_rest	4533802	124.135310	5
129	3	6	cue	2916179	148.311688	4
132	15	6	imagery	2916179	148.311688	4
147	3	6	evaluation	2916179	148.311688	4
150	3	6	inter_rest	2916179	148.311688	4
153	3	7	cue	3455488	172.405127	4
156	15	7	imagery	3455488	172.405127	4
171	3	7	evaluation	3455488	172.405127	4
174	3	7	inter_rest	3455488	172.405127	4
177	3	8	cue	3495258	196.581796	5
180	15	8	imagery	3495258	196.581796	5
195	3	8	evaluation	3495258	196.581796	5
198	3	8	inter_rest	3495258	196.581796	5
201	3	9	cue	4572121	220.744336	5
204	15	9	imagery	4572121	220.744336	5
219	3	9	evaluation	4572121	220.744336	5
222	3	9	inter_rest	4572121	220.744336	5
225	3	10	cue	1443537	244.035663	5
228	15	10	imagery	1443537	244.035663	5
243	3	10	evaluation	1443537	244.035663	5
246	3	10	inter_rest	1443537	244.035663	5
249	3	11	cue	1621127	268.212148	5
252	15	11	imagery	1621127	268.212148	5
267	3	11	evaluation	1621127	268.212148	5
270	3	11	inter_rest	1621127	268.212148	5
273	3	12	cue	1677366	291.924136	5
276	15	12	imagery	1677366	291.924136	5
291	3	12	evaluation	1677366	291.924136	5
294	3	12	inter_rest	1677366	291.924136	5
297	3	13	cue	2951358	316.416002	3
300	15	13	imagery	2951358	316.416002	3
315	3	13	evaluation	2951358	316.416002	3
318	3	13	inter_rest	2951358	316.416002	3
321	3	14	cue	3452741	341.175373	4
324	15	14	imagery	3452741	341.175373	4
339	3	14	evaluation	3452741	341.175373	4
342	3	14	inter_rest	3452741	341.175373	4
345	3	15	cue	1846331	364.102866	5
348	15	15	imagery	1846331	364.102866	5
363	3	15	evaluation	1846331	364.102866	5
366	3	15	inter_rest	1846331	364.102866	5
369	3	16	cue	4210120	388.480484	4
372	15	16	imagery	4210120	388.480484	4
387	3	16	evaluation	4210120	388.480484	4
390	3	16	inter_rest	4210120	388.480484	4
393	3	17	cue	4297750	411.921574	5
396	15	17	imagery	4297750	411.921574	5
411	3	17	evaluation	4297750	411.921574	5
414	3	17	inter_rest	4297750	411.921574	5
417	3	18	cue	4252077	436.665142	5
420	15	18	imagery	4252077	436.665142	5
435	3	18	evaluation	4252077	436.665142	5
438	3	18	inter_rest	4252077	436.665142	5
441	3	19	cue	4507155	460.008100	5
444	15	19	imagery	4507155	460.008100	5
459	3	19	evaluation	4507155	460.008100	5
462	3	19	inter_rest	4507155	460.008100	5
465	3	20	cue	3122295	484.937827	4
468	15	20	imagery	3122295	484.937827	4
483	3	20	evaluation	3122295	484.937827	4
486	3	20	inter_rest	3122295	484.937827	4
489	3	21	cue	3237416	508.478463	2
492	15	21	imagery	3237416	508.478463	2
507	3	21	evaluation	3237416	508.478463	2
510	3	21	inter_rest	3237416	508.478463	2
513	3	22	cue	2437971	532.055023	5
516	15	22	imagery	2437971	532.055023	5
531	3	22	evaluation	2437971	532.055023	5
534	3	22	inter_rest	2437971	532.055023	5
537	3	23	cue	3379051	556.265084	5
540	15	23	imagery	3379051	556.265084	5
555	3	23	evaluation	3379051	556.265084	5
558	3	23	inter_rest	3379051	556.265084	5
561	3	24	cue	2437136	580.508636	5
564	15	24	imagery	2437136	580.508636	5
579	3	24	evaluation	2437136	580.508636	5
582	3	24	inter_rest	2437136	580.508636	5
585	3	25	cue	3482252	604.254132	4
588	15	25	imagery	3482252	604.254132	4
603	3	25	evaluation	3482252	604.254132	4
606	3	25	inter_rest	3482252	604.254132	4
609	3	26	cue	2824058	628.244819	4
612	15	26	imagery	2824058	628.244819	4
627	3	26	evaluation	2824058	628.244819	4
630	3	26	inter_rest	2824058	628.244819	4
633	6	27	rest	n/a	n/a	n/a
