onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.0
33	9	2	stimulus	3063599.003234	n03063599_3234	56.0	442.0	0.0
42	9	3	stimulus	4197391.018597	n04197391_18597	116.0	924.0	0.0
51	9	4	stimulus	2131653.007902	n02131653_7902	24.0	192.0	0.0
60	9	5	stimulus	3397947.004284	n03397947_4284	68.0	540.0	0.0
69	9	6	stimulus	4442441.006478	n04442441_6478	135.0	1078.0	0.0
78	9	7	stimulus	2843158.005600	n02843158_5600	49.0	388.0	0.0
87	9	8	stimulus	4273569.017297	n04273569_17297	122.0	973.0	0.0
96	9	9	stimulus	4273569.017297	n04273569_17297	122.0	973.0	98.21560500000001
105	9	10	stimulus	7758680.015982	n07758680_15982	146.0	1165.0	0.0
114	9	11	stimulus	2391049.002286	n02391049_2286	31.0	242.0	0.0
123	9	12	stimulus	3541923.004374	n03541923_4374	79.0	631.0	0.0
132	9	13	stimulus	4044716.006288	n04044716_6288	106.0	846.0	0.0
141	9	14	stimulus	3612010.000871	n03612010_871	85.0	679.0	0.0
150	9	15	stimulus	4146614.009889	n04146614_9889	112.0	896.0	0.0
159	9	16	stimulus	3609235.007271	n03609235_7271	84.0	672.0	0.0
168	9	17	stimulus	4070727.023827	n04070727_23827	107.0	854.0	0.0
177	9	18	stimulus	3918737.004580	n03918737_4580	101.0	807.0	0.0
186	9	19	stimulus	1704323.010239	n01704323_10239	5.0	34.0	0.0
195	9	20	stimulus	1704323.010239	n01704323_10239	5.0	34.0	197.240712
204	9	21	stimulus	3261776.027103	n03261776_27103	63.0	501.0	0.0
213	9	22	stimulus	3982430.029809	n03982430_29809	104.0	828.0	0.0
222	9	23	stimulus	1970164.014781	n01970164_14781	17.0	130.0	0.0
231	9	24	stimulus	4225987.012703	n04225987_12703	117.0	929.0	0.0
240	9	25	stimulus	2317335.024617	n02317335_24617	28.0	222.0	0.0
249	9	26	stimulus	4482393.026587	n04482393_26587	137.0	1095.0	0.0
258	9	27	stimulus	2090827.005708	n02090827_5708	23.0	181.0	0.0
267	9	28	stimulus	2766534.064673	n02766534_64673	41.0	328.0	0.0
276	9	29	stimulus	4419073.013393	n04419073_13393	133.0	1059.0	0.0
285	9	30	stimulus	4419073.013393	n04419073_13393	133.0	1059.0	287.27835
294	9	31	stimulus	3623556.016837	n03623556_16837	86.0	682.0	0.0
303	9	32	stimulus	3335030.041914	n03335030_41914	64.0	511.0	0.0
312	9	33	stimulus	2503517.010053	n02503517_10053	38.0	297.0	0.0
321	9	34	stimulus	4376876.013235	n04376876_13235	127.0	1012.0	0.0
330	9	35	stimulus	3425413.021553	n03425413_21553	70.0	559.0	0.0
339	9	36	stimulus	3425413.021553	n03425413_21553	70.0	559.0	341.151255
348	9	37	stimulus	1645776.009361	n01645776_9361	3.0	21.0	0.0
357	9	38	stimulus	4477387.002204	n04477387_2204	136.0	1082.0	0.0
366	9	39	stimulus	2800213.017884	n02800213_17884	44.0	348.0	0.0
375	9	40	stimulus	3543603.002363	n03543603_2363	80.0	634.0	0.0
384	9	41	stimulus	4412416.007597	n04412416_7597	132.0	1055.0	0.0
393	9	42	stimulus	2084071.023836	n02084071_23836	22.0	172.0	0.0
402	9	43	stimulus	13111881.010917	n13111881_10917	150.0	1193.0	0.0
411	9	44	stimulus	2808440.038805	n02808440_38805	46.0	365.0	0.0
420	9	45	stimulus	4233124.013344	n04233124_13344	118.0	938.0	0.0
429	9	46	stimulus	2692877.019950	n02692877_19950	40.0	318.0	0.0
438	9	47	stimulus	12596148.004136	n12596148_4136	149.0	1186.0	0.0
447	9	48	stimulus	4587559.013463	n04587559_13463	140.0	1118.0	0.0
456	9	49	stimulus	3436182.009434	n03436182_9434	71.0	568.0	0.0
465	9	50	stimulus	4086273.010362	n04086273_10362	108.0	857.0	0.0
474	9	51	stimulus	2974003.009408	n02974003_9408	53.0	424.0	0.0
483	9	52	stimulus	4009552.015796	n04009552_15796	105.0	835.0	0.0
492	9	53	stimulus	3721384.006760	n03721384_6760	91.0	728.0	0.0
501	9	54	stimulus	3721384.006760	n03721384_6760	91.0	728.0	503.403253
510	9	55	stimulus	3837869.009127	n03837869_9127	99.0	792.0	0.0
519	9	56	stimulus	2054036.007221	n02054036_7221	19.0	151.0	0.0
528	6	57	rest	n/a	n/a	n/a	n/a	0.0
