onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	null	null	null
33	3	2	cue	n01858441	52.606395	5
36	15	2	imagery	n01858441	52.606395	5
51	3	2	evaluation	n01858441	52.606395	5
54	3	2	inter_rest	n01858441	52.606395	5
57	3	3	cue	n04252077	76.733518	4
60	15	3	imagery	n04252077	76.733518	4
75	3	3	evaluation	n04252077	76.733518	4
78	3	3	inter_rest	n04252077	76.733518	4
81	3	4	cue	n02190790	101.243706	5
84	15	4	imagery	n02190790	101.243706	5
99	3	4	evaluation	n02190790	101.243706	5
102	3	4	inter_rest	n02190790	101.243706	5
105	3	5	cue	n02437971	124.219362	4
108	15	5	imagery	n02437971	124.219362	4
123	3	5	evaluation	n02437971	124.219362	4
126	3	5	inter_rest	n02437971	124.219362	4
129	3	6	cue	n03124170	148.413974	3
132	15	6	imagery	n03124170	148.413974	3
147	3	6	evaluation	n03124170	148.413974	3
150	3	6	inter_rest	n03124170	148.413974	3
153	3	7	cue	n04554684	173.142111	5
156	15	7	imagery	n04554684	173.142111	5
171	3	7	evaluation	n04554684	173.142111	5
174	3	7	inter_rest	n04554684	173.142111	5
177	3	8	cue	n03954393	196.566651	4
180	15	8	imagery	n03954393	196.566651	4
195	3	8	evaluation	n03954393	196.566651	4
198	3	8	inter_rest	n03954393	196.566651	4
201	3	9	cue	n03122295	220.409576	5
204	15	9	imagery	n03122295	220.409576	5
219	3	9	evaluation	n03122295	220.409576	5
222	3	9	inter_rest	n03122295	220.409576	5
225	3	10	cue	n03767745	245.703086	4
228	15	10	imagery	n03767745	245.703086	4
243	3	10	evaluation	n03767745	245.703086	4
246	3	10	inter_rest	n03767745	245.703086	4
249	3	11	cue	n03710193	268.813550	4
252	15	11	imagery	n03710193	268.813550	4
267	3	11	evaluation	n03710193	268.813550	4
270	3	11	inter_rest	n03710193	268.813550	4
273	3	12	cue	n03452741	292.891656	5
276	15	12	imagery	n03452741	292.891656	5
291	3	12	evaluation	n03452741	292.891656	5
294	3	12	inter_rest	n03452741	292.891656	5
297	3	13	cue	n03455488	316.634798	2
300	15	13	imagery	n03455488	316.634798	2
315	3	13	evaluation	n03455488	316.634798	2
318	3	13	inter_rest	n03455488	316.634798	2
321	3	14	cue	n04387400	341.326309	4
324	15	14	imagery	n04387400	341.326309	4
339	3	14	evaluation	n04387400	341.326309	4
342	3	14	inter_rest	n04387400	341.326309	4
345	3	15	cue	n01846331	365.920281	5
348	15	15	imagery	n01846331	365.920281	5
363	3	15	evaluation	n01846331	365.920281	5
366	3	15	inter_rest	n01846331	365.920281	5
369	3	16	cue	n03626115	389.396434	5
372	15	16	imagery	n03626115	389.396434	5
387	3	16	evaluation	n03626115	389.396434	5
390	3	16	inter_rest	n03626115	389.396434	5
393	3	17	cue	n01976957	412.275475	3
396	15	17	imagery	n01976957	412.275475	3
411	3	17	evaluation	n01976957	412.275475	3
414	3	17	inter_rest	n01976957	412.275475	3
417	3	18	cue	n03272010	436.751286	5
420	15	18	imagery	n03272010	436.751286	5
435	3	18	evaluation	n03272010	436.751286	5
438	3	18	inter_rest	n03272010	436.751286	5
441	3	19	cue	n03482252	461.277216	4
444	15	19	imagery	n03482252	461.277216	4
459	3	19	evaluation	n03482252	461.277216	4
462	3	19	inter_rest	n03482252	461.277216	4
465	3	20	cue	n02951358	484.753981	4
468	15	20	imagery	n02951358	484.753981	4
483	3	20	evaluation	n02951358	484.753981	4
486	3	20	inter_rest	n02951358	484.753981	4
489	3	21	cue	n03761084	509.265028	4
492	15	21	imagery	n03761084	509.265028	4
507	3	21	evaluation	n03761084	509.265028	4
510	3	21	inter_rest	n03761084	509.265028	4
513	3	22	cue	n03584254	533.423063	5
516	15	22	imagery	n03584254	533.423063	5
531	3	22	evaluation	n03584254	533.423063	5
534	3	22	inter_rest	n03584254	533.423063	5
537	3	23	cue	n02139199	557.234759	5
540	15	23	imagery	n02139199	557.234759	5
555	3	23	evaluation	n02139199	557.234759	5
558	3	23	inter_rest	n02139199	557.234759	5
561	3	24	cue	n03716966	581.212168	4
564	15	24	imagery	n03716966	581.212168	4
579	3	24	evaluation	n03716966	581.212168	4
582	3	24	inter_rest	n03716966	581.212168	4
585	3	25	cue	n01621127	605.220328	4
588	15	25	imagery	n01621127	605.220328	4
603	3	25	evaluation	n01621127	605.220328	4
606	3	25	inter_rest	n01621127	605.220328	4
609	3	26	cue	n03941684	629.831647	4
612	15	26	imagery	n03941684	629.831647	4
627	3	26	evaluation	n03941684	629.831647	4
630	3	26	inter_rest	n03941684	629.831647	4
633	6	27	rest	null	null	null
