onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	null	null	null
33	3	2	cue	n04252077	52.600558	4
36	15	2	imagery	n04252077	52.600558	4
51	3	2	evaluation	n04252077	52.600558	4
54	3	2	inter_rest	n04252077	52.600558	4
57	3	3	cue	n04297750	76.510650	5
60	15	3	imagery	n04297750	76.510650	5
75	3	3	evaluation	n04297750	76.510650	5
78	3	3	inter_rest	n04297750	76.510650	5
81	3	4	cue	n02139199	101.054329	2
84	15	4	imagery	n02139199	101.054329	2
99	3	4	evaluation	n02139199	101.054329	2
102	3	4	inter_rest	n02139199	101.054329	2
105	3	5	cue	n02690373	123.982048	5
108	15	5	imagery	n02690373	123.982048	5
123	3	5	evaluation	n02690373	123.982048	5
126	3	5	inter_rest	n02690373	123.982048	5
129	3	6	cue	n01846331	148.260340	4
132	15	6	imagery	n01846331	148.260340	4
147	3	6	evaluation	n01846331	148.260340	4
150	3	6	inter_rest	n01846331	148.260340	4
153	3	7	cue	n04572121	171.950527	5
156	15	7	imagery	n04572121	171.950527	5
171	3	7	evaluation	n04572121	171.950527	5
174	3	7	inter_rest	n04572121	171.950527	5
177	3	8	cue	n01621127	196.911722	3
180	15	8	imagery	n01621127	196.911722	3
195	3	8	evaluation	n01621127	196.911722	3
198	3	8	inter_rest	n01621127	196.911722	3
201	3	9	cue	n03495258	220.371692	4
204	15	9	imagery	n03495258	220.371692	4
219	3	9	evaluation	n03495258	220.371692	4
222	3	9	inter_rest	n03495258	220.371692	4
225	3	10	cue	n04210120	244.131335	4
228	15	10	imagery	n04210120	244.131335	4
243	3	10	evaluation	n04210120	244.131335	4
246	3	10	inter_rest	n04210120	244.131335	4
249	3	11	cue	n03767745	268.223985	4
252	15	11	imagery	n03767745	268.223985	4
267	3	11	evaluation	n03767745	268.223985	4
270	3	11	inter_rest	n03767745	268.223985	4
273	3	12	cue	n03455488	292.717478	4
276	15	12	imagery	n03455488	292.717478	4
291	3	12	evaluation	n03455488	292.717478	4
294	3	12	inter_rest	n03455488	292.717478	4
297	3	13	cue	n01976957	316.546044	4
300	15	13	imagery	n01976957	316.546044	4
315	3	13	evaluation	n01976957	316.546044	4
318	3	13	inter_rest	n01976957	316.546044	4
321	3	14	cue	n02190790	340.337751	5
324	15	14	imagery	n02190790	340.337751	5
339	3	14	evaluation	n02190790	340.337751	5
342	3	14	inter_rest	n02190790	340.337751	5
345	3	15	cue	n02416519	364.582768	5
348	15	15	imagery	n02416519	364.582768	5
363	3	15	evaluation	n02416519	364.582768	5
366	3	15	inter_rest	n02416519	364.582768	5
369	3	16	cue	n03272010	388.108554	3
372	15	16	imagery	n03272010	388.108554	3
387	3	16	evaluation	n03272010	388.108554	3
390	3	16	inter_rest	n03272010	388.108554	3
393	3	17	cue	n02437971	413.217555	2
396	15	17	imagery	n02437971	413.217555	2
411	3	17	evaluation	n02437971	413.217555	2
414	3	17	inter_rest	n02437971	413.217555	2
417	3	18	cue	n01943899	436.279850	4
420	15	18	imagery	n01943899	436.279850	4
435	3	18	evaluation	n01943899	436.279850	4
438	3	18	inter_rest	n01943899	436.279850	4
441	3	19	cue	n02950256	460.454129	5
444	15	19	imagery	n02950256	460.454129	5
459	3	19	evaluation	n02950256	460.454129	5
462	3	19	inter_rest	n02950256	460.454129	5
465	3	20	cue	n01677366	485.181729	3
468	15	20	imagery	n01677366	485.181729	3
483	3	20	evaluation	n01677366	485.181729	3
486	3	20	inter_rest	n01677366	485.181729	3
489	3	21	cue	n02071294	508.257222	5
492	15	21	imagery	n02071294	508.257222	5
507	3	21	evaluation	n02071294	508.257222	5
510	3	21	inter_rest	n02071294	508.257222	5
513	3	22	cue	n03379051	532.634364	5
516	15	22	imagery	n03379051	532.634364	5
531	3	22	evaluation	n03379051	532.634364	5
534	3	22	inter_rest	n03379051	532.634364	5
537	3	23	cue	n04554684	556.811223	3
540	15	23	imagery	n04554684	556.811223	3
555	3	23	evaluation	n04554684	556.811223	3
558	3	23	inter_rest	n04554684	556.811223	3
561	3	24	cue	n01443537	581.256784	4
564	15	24	imagery	n01443537	581.256784	4
579	3	24	evaluation	n01443537	581.256784	4
582	3	24	inter_rest	n01443537	581.256784	4
585	3	25	cue	n02951358	604.916460	5
588	15	25	imagery	n02951358	604.916460	5
603	3	25	evaluation	n02951358	604.916460	5
606	3	25	inter_rest	n02951358	604.916460	5
609	3	26	cue	n02882301	0.000000	1
612	15	26	imagery	n02882301	0.000000	1
627	3	26	evaluation	n02882301	0.000000	1
630	3	26	inter_rest	n02882301	0.000000	1
633	6	27	rest	null	null	null
