onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	nan	n/a
33	3	2	cue	3710193	36	52.318110	4.0
36	15	2	imagery	3710193	36	52.318110	4.0
51	3	2	evaluation	3710193	36	52.318110	4.0
54	3	2	inter_rest	3710193	36	52.318110	4.0
57	3	3	cue	1677366	3	76.559164	4.0
60	15	3	imagery	1677366	3	76.559164	4.0
75	3	3	evaluation	1677366	3	76.559164	4.0
78	3	3	inter_rest	1677366	3	76.559164	4.0
81	3	4	cue	3954393	41	100.735958	4.0
84	15	4	imagery	3954393	41	100.735958	4.0
99	3	4	evaluation	3954393	41	100.735958	4.0
102	3	4	inter_rest	3954393	41	100.735958	4.0
105	3	5	cue	3272010	27	124.766638	3.0
108	15	5	imagery	3272010	27	124.766638	3.0
123	3	5	evaluation	3272010	27	124.766638	3.0
126	3	5	inter_rest	3272010	27	124.766638	3.0
129	3	6	cue	2128385	9	148.922854	3.0
132	15	6	imagery	2128385	9	148.922854	3.0
147	3	6	evaluation	2128385	9	148.922854	3.0
150	3	6	inter_rest	2128385	9	148.922854	3.0
153	3	7	cue	2797295	17	173.866644	3.0
156	15	7	imagery	2797295	17	173.866644	3.0
171	3	7	evaluation	2797295	17	173.866644	3.0
174	3	7	inter_rest	2797295	17	173.866644	3.0
177	3	8	cue	3122295	24	196.226578	4.0
180	15	8	imagery	3122295	24	196.226578	4.0
195	3	8	evaluation	3122295	24	196.226578	4.0
198	3	8	inter_rest	3122295	24	196.226578	4.0
201	3	9	cue	3345837	28	221.087106	3.0
204	15	9	imagery	3345837	28	221.087106	3.0
219	3	9	evaluation	3345837	28	221.087106	3.0
222	3	9	inter_rest	3345837	28	221.087106	3.0
225	3	10	cue	4297750	45	245.546383	4.0
228	15	10	imagery	4297750	45	245.546383	4.0
243	3	10	evaluation	4297750	45	245.546383	4.0
246	3	10	inter_rest	4297750	45	245.546383	4.0
249	3	11	cue	2950256	21	269.175701	3.0
252	15	11	imagery	2950256	21	269.175701	3.0
267	3	11	evaluation	2950256	21	269.175701	3.0
270	3	11	inter_rest	2950256	21	269.175701	3.0
273	3	12	cue	1858441	5	0.000000	1.0
276	15	12	imagery	1858441	5	0.000000	1.0
291	3	12	evaluation	1858441	5	0.000000	1.0
294	3	12	inter_rest	1858441	5	0.000000	1.0
297	3	13	cue	3455488	31	316.943579	3.0
300	15	13	imagery	3455488	31	316.943579	3.0
315	3	13	evaluation	3455488	31	316.943579	3.0
318	3	13	inter_rest	3455488	31	316.943579	3.0
321	3	14	cue	4210120	42	341.286447	4.0
324	15	14	imagery	4210120	42	341.286447	4.0
339	3	14	evaluation	4210120	42	341.286447	4.0
342	3	14	inter_rest	4210120	42	341.286447	4.0
345	3	15	cue	3064758	23	364.930319	3.0
348	15	15	imagery	3064758	23	364.930319	3.0
363	3	15	evaluation	3064758	23	364.930319	3.0
366	3	15	inter_rest	3064758	23	364.930319	3.0
369	3	16	cue	2882301	19	389.573288	4.0
372	15	16	imagery	2882301	19	389.573288	4.0
387	3	16	evaluation	2882301	19	389.573288	4.0
390	3	16	inter_rest	2882301	19	389.573288	4.0
393	3	17	cue	2071294	8	413.216442	4.0
396	15	17	imagery	2071294	8	413.216442	4.0
411	3	17	evaluation	2071294	8	413.216442	4.0
414	3	17	inter_rest	2071294	8	413.216442	4.0
417	3	18	cue	3495258	33	436.876283	4.0
420	15	18	imagery	3495258	33	436.876283	4.0
435	3	18	evaluation	3495258	33	436.876283	4.0
438	3	18	inter_rest	3495258	33	436.876283	4.0
441	3	19	cue	3584254	34	461.337196	3.0
444	15	19	imagery	3584254	34	461.337196	3.0
459	3	19	evaluation	3584254	34	461.337196	3.0
462	3	19	inter_rest	3584254	34	461.337196	3.0
465	3	20	cue	3452741	30	484.916086	4.0
468	15	20	imagery	3452741	30	484.916086	4.0
483	3	20	evaluation	3452741	30	484.916086	4.0
486	3	20	inter_rest	3452741	30	484.916086	4.0
489	3	21	cue	1943899	6	508.974902	4.0
492	15	21	imagery	1943899	6	508.974902	4.0
507	3	21	evaluation	1943899	6	508.974902	4.0
510	3	21	inter_rest	1943899	6	508.974902	4.0
513	3	22	cue	3716966	37	533.283011	4.0
516	15	22	imagery	3716966	37	533.283011	4.0
531	3	22	evaluation	3716966	37	533.283011	4.0
534	3	22	inter_rest	3716966	37	533.283011	4.0
537	3	23	cue	4554684	49	556.996395	3.0
540	15	23	imagery	4554684	49	556.996395	3.0
555	3	23	evaluation	4554684	49	556.996395	3.0
558	3	23	inter_rest	4554684	49	556.996395	3.0
561	3	24	cue	4507155	47	581.036707	3.0
564	15	24	imagery	4507155	47	581.036707	3.0
579	3	24	evaluation	4507155	47	581.036707	3.0
582	3	24	inter_rest	4507155	47	581.036707	3.0
585	3	25	cue	2190790	11	0.000000	1.0
588	15	25	imagery	2190790	11	0.000000	1.0
603	3	25	evaluation	2190790	11	0.000000	1.0
606	3	25	inter_rest	2190790	11	0.000000	1.0
609	3	26	cue	1621127	2	0.000000	1.0
612	15	26	imagery	1621127	2	0.000000	1.0
627	3	26	evaluation	1621127	2	0.000000	1.0
630	3	26	inter_rest	1621127	2	0.000000	1.0
633	6	27	rest	n/a	n/a	nan	n/a
