onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a
33	3	2	cue	1858441.0	5.0	52.213017	4.0
36	15	2	imagery	1858441.0	5.0	52.213017	4.0
51	3	2	evaluation	1858441.0	5.0	52.213017	4.0
54	3	2	inter_rest	1858441.0	5.0	52.213017	4.0
57	3	3	cue	3379051.0	29.0	76.688989	4.0
60	15	3	imagery	3379051.0	29.0	76.688989	4.0
75	3	3	evaluation	3379051.0	29.0	76.688989	4.0
78	3	3	inter_rest	3379051.0	29.0	76.688989	4.0
81	3	4	cue	2274259.0	12.0	100.332022	4.0
84	15	4	imagery	2274259.0	12.0	100.332022	4.0
99	3	4	evaluation	2274259.0	12.0	100.332022	4.0
102	3	4	inter_rest	2274259.0	12.0	100.332022	4.0
105	3	5	cue	2416519.0	13.0	125.52647900000001	3.0
108	15	5	imagery	2416519.0	13.0	125.52647900000001	3.0
123	3	5	evaluation	2416519.0	13.0	125.52647900000001	3.0
126	3	5	inter_rest	2416519.0	13.0	125.52647900000001	3.0
129	3	6	cue	1846331.0	4.0	148.92223	3.0
132	15	6	imagery	1846331.0	4.0	148.92223	3.0
147	3	6	evaluation	1846331.0	4.0	148.92223	3.0
150	3	6	inter_rest	1846331.0	4.0	148.92223	3.0
153	3	7	cue	4533802.0	48.0	172.412322	4.0
156	15	7	imagery	4533802.0	48.0	172.412322	4.0
171	3	7	evaluation	4533802.0	48.0	172.412322	4.0
174	3	7	inter_rest	4533802.0	48.0	172.412322	4.0
177	3	8	cue	1443537.0	1.0	197.04105	4.0
180	15	8	imagery	1443537.0	1.0	197.04105	4.0
195	3	8	evaluation	1443537.0	1.0	197.04105	4.0
198	3	8	inter_rest	1443537.0	1.0	197.04105	4.0
201	3	9	cue	3064758.0	23.0	220.76643900000002	3.0
204	15	9	imagery	3064758.0	23.0	220.76643900000002	3.0
219	3	9	evaluation	3064758.0	23.0	220.76643900000002	3.0
222	3	9	inter_rest	3064758.0	23.0	220.76643900000002	3.0
225	3	10	cue	2128385.0	9.0	244.526641	3.0
228	15	10	imagery	2128385.0	9.0	244.526641	3.0
243	3	10	evaluation	2128385.0	9.0	244.526641	3.0
246	3	10	inter_rest	2128385.0	9.0	244.526641	3.0
249	3	11	cue	2951358.0	22.0	268.65428199999997	4.0
252	15	11	imagery	2951358.0	22.0	268.65428199999997	4.0
267	3	11	evaluation	2951358.0	22.0	268.65428199999997	4.0
270	3	11	inter_rest	2951358.0	22.0	268.65428199999997	4.0
273	3	12	cue	1621127.0	2.0	293.51288	3.0
