onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	3085013.023397	0.000000
42	9	3	stimulus	4254680.001247	0.000000
51	9	4	stimulus	3646296.007086	0.000000
60	9	5	stimulus	12582231.039329	0.000000
69	9	6	stimulus	1963571.016954	0.000000
78	9	7	stimulus	1963571.016954	80.391924
87	9	8	stimulus	3760671.012018	0.000000
96	9	9	stimulus	3425413.022005	0.000000
105	9	10	stimulus	3425413.022005	107.155762
114	9	11	stimulus	3436182.011486	0.000000
123	9	12	stimulus	2481823.012066	0.000000
132	9	13	stimulus	4412416.010353	0.000000
141	9	14	stimulus	3483823.006872	0.000000
150	9	15	stimulus	2055803.009893	0.000000
159	9	16	stimulus	3512147.047076	0.000000
168	9	17	stimulus	4233124.015821	0.000000
177	9	18	stimulus	3261776.029363	0.000000
186	9	19	stimulus	3261776.029363	0.000000
195	9	20	stimulus	4401680.029505	195.059929
204	9	21	stimulus	4180888.005987	0.000000
213	9	22	stimulus	2843158.005377	0.000000
222	9	23	stimulus	2084071.030865	0.000000
231	9	24	stimulus	2841315.014915	0.000000
240	9	25	stimulus	3494278.038237	0.000000
249	9	26	stimulus	3335030.010544	0.000000
258	9	27	stimulus	2439033.014148	0.000000
267	9	28	stimulus	3721384.003497	0.000000
276	9	29	stimulus	2943871.008123	0.000000
285	9	30	stimulus	2882647.007150	0.000000
294	9	31	stimulus	3665924.052000	0.000000
303	9	32	stimulus	4555897.005017	0.000000
312	9	33	stimulus	4555897.005017	314.255155
321	9	34	stimulus	13111881.006560	0.000000
330	9	35	stimulus	4009552.018384	0.000000
339	9	36	stimulus	4442312.019042	0.000000
348	9	37	stimulus	2068974.013351	0.000000
357	9	38	stimulus	1833805.012155	0.000000
366	9	39	stimulus	1704323.008008	0.000000
375	9	40	stimulus	2005790.005354	0.000000
384	9	41	stimulus	2374451.019966	0.000000
393	9	42	stimulus	2374451.019966	395.290928
402	9	43	stimulus	4225987.006877	0.000000
411	9	44	stimulus	4070727.009914	0.000000
420	9	45	stimulus	3607659.008199	0.000000
429	9	46	stimulus	1770393.018012	0.000000
438	9	47	stimulus	3746005.006174	0.000000
447	9	48	stimulus	4272054.029465	0.000000
456	9	49	stimulus	1970164.030734	0.000000
465	9	50	stimulus	4090263.007624	0.000000
474	9	51	stimulus	4168199.010839	0.000000
483	9	52	stimulus	12596148.009625	0.000000
492	9	53	stimulus	1784675.015784	0.000000
501	9	54	stimulus	4612026.010008	0.000000
510	9	55	stimulus	7734017.006281	0.000000
519	9	56	stimulus	1944390.020511	0.000000
528	6	57	rest	n/a	0.000000
