onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	3	2	cue	3584254	n03584254	34	52.997599	4.0
36	15	2	imagery	3584254	n03584254	34	52.997599	4.0
51	3	2	evaluation	3584254	n03584254	34	52.997599	4.0
54	3	2	inter_rest	3584254	n03584254	34	52.997599	4.0
57	3	3	cue	1621127	n01621127	2	76.890922	4.0
60	15	3	imagery	1621127	n01621127	2	76.890922	4.0
75	3	3	evaluation	1621127	n01621127	2	76.890922	4.0
78	3	3	inter_rest	1621127	n01621127	2	76.890922	4.0
81	3	4	cue	2690373	n02690373	16	100.669786	4.0
84	15	4	imagery	2690373	n02690373	16	100.669786	4.0
99	3	4	evaluation	2690373	n02690373	16	100.669786	4.0
102	3	4	inter_rest	2690373	n02690373	16	100.669786	4.0
105	3	5	cue	4387400	n04387400	46	125.261041	3.0
108	15	5	imagery	4387400	n04387400	46	125.261041	3.0
123	3	5	evaluation	4387400	n04387400	46	125.261041	3.0
126	3	5	inter_rest	4387400	n04387400	46	125.261041	3.0
129	3	6	cue	1846331	n01846331	4	149.356701	3.0
132	15	6	imagery	1846331	n01846331	4	149.356701	3.0
147	3	6	evaluation	1846331	n01846331	4	149.356701	3.0
150	3	6	inter_rest	1846331	n01846331	4	149.356701	3.0
153	3	7	cue	4254777	n04254777	44	n/a	1.0
156	15	7	imagery	4254777	n04254777	44	n/a	1.0
171	3	7	evaluation	4254777	n04254777	44	n/a	1.0
174	3	7	inter_rest	4254777	n04254777	44	n/a	1.0
177	3	8	cue	2437136	n02437136	14	197.960121	4.0
180	15	8	imagery	2437136	n02437136	14	197.960121	4.0
195	3	8	evaluation	2437136	n02437136	14	197.960121	4.0
198	3	8	inter_rest	2437136	n02437136	14	197.960121	4.0
201	3	9	cue	2951358	n02951358	22	221.067866	3.0
204	15	9	imagery	2951358	n02951358	22	221.067866	3.0
219	3	9	evaluation	2951358	n02951358	22	221.067866	3.0
222	3	9	inter_rest	2951358	n02951358	22	221.067866	3.0
225	3	10	cue	3495258	n03495258	33	246.696135	4.0
228	15	10	imagery	3495258	n03495258	33	246.696135	4.0
243	3	10	evaluation	3495258	n03495258	33	246.696135	4.0
246	3	10	inter_rest	3495258	n03495258	33	246.696135	4.0
249	3	11	cue	2824058	n02824058	18	268.954205	4.0
252	15	11	imagery	2824058	n02824058	18	268.954205	4.0
267	3	11	evaluation	2824058	n02824058	18	268.954205	4.0
270	3	11	inter_rest	2824058	n02824058	18	268.954205	4.0
273	3	12	cue	2139199	n02139199	10	n/a	1.0
276	15	12	imagery	2139199	n02139199	10	n/a	1.0
291	3	12	evaluation	2139199	n02139199	10	n/a	1.0
294	3	12	inter_rest	2139199	n02139199	10	n/a	1.0
297	3	13	cue	3345837	n03345837	28	317.041072	3.0
300	15	13	imagery	3345837	n03345837	28	317.041072	3.0
315	3	13	evaluation	3345837	n03345837	28	317.041072	3.0
318	3	13	inter_rest	3345837	n03345837	28	317.041072	3.0
321	3	14	cue	4554684	n04554684	49	342.352720	3.0
324	15	14	imagery	4554684	n04554684	49	342.352720	3.0
339	3	14	evaluation	4554684	n04554684	49	342.352720	3.0
342	3	14	inter_rest	4554684	n04554684	49	342.352720	3.0
345	3	15	cue	1943899	n01943899	6	365.981387	4.0
348	15	15	imagery	1943899	n01943899	6	365.981387	4.0
363	3	15	evaluation	1943899	n01943899	6	365.981387	4.0
366	3	15	inter_rest	1943899	n01943899	6	365.981387	4.0
369	3	16	cue	1443537	n01443537	1	389.671402	4.0
372	15	16	imagery	1443537	n01443537	1	389.671402	4.0
387	3	16	evaluation	1443537	n01443537	1	389.671402	4.0
390	3	16	inter_rest	1443537	n01443537	1	389.671402	4.0
393	3	17	cue	4252077	n04252077	43	414.832080	3.0
396	15	17	imagery	4252077	n04252077	43	414.832080	3.0
411	3	17	evaluation	4252077	n04252077	43	414.832080	3.0
414	3	17	inter_rest	4252077	n04252077	43	414.832080	3.0
417	3	18	cue	4533802	n04533802	48	436.442862	4.0
420	15	18	imagery	4533802	n04533802	48	436.442862	4.0
435	3	18	evaluation	4533802	n04533802	48	436.442862	4.0
438	3	18	inter_rest	4533802	n04533802	48	436.442862	4.0
441	3	19	cue	3767745	n03767745	39	n/a	1.0
444	15	19	imagery	3767745	n03767745	39	n/a	1.0
459	3	19	evaluation	3767745	n03767745	39	n/a	1.0
462	3	19	inter_rest	3767745	n03767745	39	n/a	1.0
465	3	20	cue	3626115	n03626115	35	484.796517	3.0
468	15	20	imagery	3626115	n03626115	35	484.796517	3.0
483	3	20	evaluation	3626115	n03626115	35	484.796517	3.0
486	3	20	inter_rest	3626115	n03626115	35	484.796517	3.0
489	3	21	cue	3954393	n03954393	41	n/a	1.0
492	15	21	imagery	3954393	n03954393	41	n/a	1.0
507	3	21	evaluation	3954393	n03954393	41	n/a	1.0
510	3	21	inter_rest	3954393	n03954393	41	n/a	1.0
513	3	22	cue	3455488	n03455488	31	532.631510	3.0
516	15	22	imagery	3455488	n03455488	31	532.631510	3.0
531	3	22	evaluation	3455488	n03455488	31	532.631510	3.0
534	3	22	inter_rest	3455488	n03455488	31	532.631510	3.0
537	3	23	cue	2416519	n02416519	13	556.741074	3.0
540	15	23	imagery	2416519	n02416519	13	556.741074	3.0
555	3	23	evaluation	2416519	n02416519	13	556.741074	3.0
558	3	23	inter_rest	2416519	n02416519	13	556.741074	3.0
561	3	24	cue	4572121	n04572121	50	n/a	1.0
564	15	24	imagery	4572121	n04572121	50	n/a	1.0
579	3	24	evaluation	4572121	n04572121	50	n/a	1.0
582	3	24	inter_rest	4572121	n04572121	50	n/a	1.0
585	3	25	cue	1858441	n01858441	5	606.279461	4.0
588	15	25	imagery	1858441	n01858441	5	606.279461	4.0
603	3	25	evaluation	1858441	n01858441	5	606.279461	4.0
606	3	25	inter_rest	1858441	n01858441	5	606.279461	4.0
609	3	26	cue	2274259	n02274259	12	n/a	1.0
612	15	26	imagery	2274259	n02274259	12	n/a	1.0
627	3	26	evaluation	2274259	n02274259	12	n/a	1.0
630	3	26	inter_rest	2274259	n02274259	12	n/a	1.0
633	6	27	rest	n/a	n/a	n/a	n/a	n/a
