onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n02439033_8005.JPEG	0.000000
42	9	3	stimulus	n03886762_18101.JPEG	0.000000
51	9	4	stimulus	n04373894_43971.JPEG	0.000000
60	9	5	stimulus	n03982430_15760.JPEG	0.000000
69	9	6	stimulus	n03345487_2612.JPEG	0.000000
78	9	7	stimulus	n01726692_9090.JPEG	0.000000
87	9	8	stimulus	n04442312_15619.JPEG	0.000000
96	9	9	stimulus	n01768244_9298.JPEG	0.000000
105	9	10	stimulus	n03187595_5735.JPEG	0.000000
114	9	11	stimulus	n03187595_5735.JPEG	115.036037
123	9	12	stimulus	n01770393_21218.JPEG	0.000000
132	9	13	stimulus	n03721384_22007.JPEG	0.000000
141	9	14	stimulus	n03602883_15696.JPEG	0.000000
150	9	15	stimulus	n02481823_20882.JPEG	0.000000
159	9	16	stimulus	n03790512_23966.JPEG	0.000000
168	9	17	stimulus	n01772222_12347.JPEG	0.000000
177	9	18	stimulus	n03792782_21048.JPEG	0.000000
186	9	19	stimulus	n03792782_21048.JPEG	187.049412
195	9	20	stimulus	n02692877_11314.JPEG	0.000000
204	9	21	stimulus	n03607659_6257.JPEG	0.000000
213	9	22	stimulus	n02131653_12495.JPEG	0.000000
222	9	23	stimulus	n04409515_2581.JPEG	0.000000
231	9	24	stimulus	n02068974_4003.JPEG	0.000000
240	9	25	stimulus	n02885462_9267.JPEG	0.000000
249	9	26	stimulus	n03541923_9436.JPEG	0.000000
258	9	27	stimulus	n04225987_5124.JPEG	0.000000
267	9	28	stimulus	n04225987_5124.JPEG	268.049961
276	9	29	stimulus	n13111881_9170.JPEG	0.000000
285	9	30	stimulus	n03837869_7066.JPEG	0.000000
294	9	31	stimulus	n07756951_15873.JPEG	0.000000
303	9	32	stimulus	n02005790_1902.JPEG	0.000000
312	9	33	stimulus	n03467796_5384.JPEG	0.000000
321	9	34	stimulus	n03467796_5384.JPEG	322.039094
330	9	35	stimulus	n03512147_33515.JPEG	0.000000
339	9	36	stimulus	n02503517_3324.JPEG	0.000000
348	9	37	stimulus	n04009552_15796.JPEG	0.000000
357	9	38	stimulus	n04482393_24979.JPEG	0.000000
366	9	39	stimulus	n03743279_13788.JPEG	0.000000
375	9	40	stimulus	n03079230_13074.JPEG	0.000000
384	9	41	stimulus	n04272054_21409.JPEG	0.000000
393	9	42	stimulus	n01855672_15809.JPEG	0.000000
402	9	43	stimulus	n02808440_15163.JPEG	0.000000
411	9	44	stimulus	n02808440_15163.JPEG	412.043405
420	9	45	stimulus	n03760671_13659.JPEG	0.000000
429	9	46	stimulus	n07758680_22370.JPEG	0.000000
438	9	47	stimulus	n04086273_12913.JPEG	0.000000
447	9	48	stimulus	n03335030_41914.JPEG	0.000000
456	9	49	stimulus	n03642806_27943.JPEG	0.000000
465	9	50	stimulus	n02998003_1995.JPEG	0.000000
474	9	51	stimulus	n04113406_5900.JPEG	0.000000
483	9	52	stimulus	n03746005_2516.JPEG	0.000000
492	9	53	stimulus	n04409806_5820.JPEG	0.000000
501	9	54	stimulus	n02432983_31019.JPEG	0.000000
510	9	55	stimulus	n02802215_4806.JPEG	0.000000
519	9	56	stimulus	n02445715_5508.JPEG	0.000000
528	6	57	rest	n/a	0.000000
