onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a
33	3	2	cue	1621127.0	2.0	52.594527	5.0
36	15	2	imagery	1621127.0	2.0	52.594527	5.0
51	3	2	evaluation	1621127.0	2.0	52.594527	5.0
54	3	2	inter_rest	1621127.0	2.0	52.594527	5.0
57	3	3	cue	1443537.0	1.0	76.587823	5.0
60	15	3	imagery	1443537.0	1.0	76.587823	5.0
75	3	3	evaluation	1443537.0	1.0	76.587823	5.0
78	3	3	inter_rest	1443537.0	1.0	76.587823	5.0
81	3	4	cue	3716966.0	37.0	100.532077	5.0
84	15	4	imagery	3716966.0	37.0	100.532077	5.0
99	3	4	evaluation	3716966.0	37.0	100.532077	5.0
102	3	4	inter_rest	3716966.0	37.0	100.532077	5.0
105	3	5	cue	4507155.0	47.0	124.457858	5.0
108	15	5	imagery	4507155.0	47.0	124.457858	5.0
123	3	5	evaluation	4507155.0	47.0	124.457858	5.0
126	3	5	inter_rest	4507155.0	47.0	124.457858	5.0
129	3	6	cue	2190790.0	11.0	149.303216	5.0
132	15	6	imagery	2190790.0	11.0	149.303216	5.0
147	3	6	evaluation	2190790.0	11.0	149.303216	5.0
150	3	6	inter_rest	2190790.0	11.0	149.303216	5.0
153	3	7	cue	2437136.0	14.0	172.22963000000001	5.0
156	15	7	imagery	2437136.0	14.0	172.22963000000001	5.0
171	3	7	evaluation	2437136.0	14.0	172.22963000000001	5.0
174	3	7	inter_rest	2437136.0	14.0	172.22963000000001	5.0
177	3	8	cue	2882301.0	19.0	196.856925	4.0
180	15	8	imagery	2882301.0	19.0	196.856925	4.0
195	3	8	evaluation	2882301.0	19.0	196.856925	4.0
198	3	8	inter_rest	2882301.0	19.0	196.856925	4.0
201	3	9	cue	2139199.0	10.0	220.48116000000002	5.0
204	15	9	imagery	2139199.0	10.0	220.48116000000002	5.0
219	3	9	evaluation	2139199.0	10.0	220.48116000000002	5.0
222	3	9	inter_rest	2139199.0	10.0	220.48116000000002	5.0
225	3	10	cue	2274259.0	12.0	244.84309100000002	5.0
228	15	10	imagery	2274259.0	12.0	244.84309100000002	5.0
243	3	10	evaluation	2274259.0	12.0	244.84309100000002	5.0
246	3	10	inter_rest	2274259.0	12.0	244.84309100000002	5.0
249	3	11	cue	3761084.0	38.0	268.33781600000003	5.0
