onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a
33	3	2	cue	3710193.0	36.0	52.745534	4.0
36	15	2	imagery	3710193.0	36.0	52.745534	4.0
51	3	2	evaluation	3710193.0	36.0	52.745534	4.0
54	3	2	inter_rest	3710193.0	36.0	52.745534	4.0
57	3	3	cue	2190790.0	11.0	76.790251	5.0
60	15	3	imagery	2190790.0	11.0	76.790251	5.0
75	3	3	evaluation	2190790.0	11.0	76.790251	5.0
78	3	3	inter_rest	2190790.0	11.0	76.790251	5.0
81	3	4	cue	3495258.0	33.0	101.26782800000001	4.0
84	15	4	imagery	3495258.0	33.0	101.26782800000001	4.0
99	3	4	evaluation	3495258.0	33.0	101.26782800000001	4.0
102	3	4	inter_rest	3495258.0	33.0	101.26782800000001	4.0
105	3	5	cue	3122295.0	24.0	124.408553	5.0
108	15	5	imagery	3122295.0	24.0	124.408553	5.0
123	3	5	evaluation	3122295.0	24.0	124.408553	5.0
126	3	5	inter_rest	3122295.0	24.0	124.408553	5.0
129	3	6	cue	1976957.0	7.0	149.204546	5.0
132	15	6	imagery	1976957.0	7.0	149.204546	5.0
147	3	6	evaluation	1976957.0	7.0	149.204546	5.0
150	3	6	inter_rest	1976957.0	7.0	149.204546	5.0
153	3	7	cue	3482252.0	32.0	173.32895	5.0
156	15	7	imagery	3482252.0	32.0	173.32895	5.0
171	3	7	evaluation	3482252.0	32.0	173.32895	5.0
174	3	7	inter_rest	3482252.0	32.0	173.32895	5.0
177	3	8	cue	2071294.0	8.0	197.257283	4.0
180	15	8	imagery	2071294.0	8.0	197.257283	4.0
195	3	8	evaluation	2071294.0	8.0	197.257283	4.0
198	3	8	inter_rest	2071294.0	8.0	197.257283	4.0
201	3	9	cue	3452741.0	30.0	220.89936400000002	4.0
204	15	9	imagery	3452741.0	30.0	220.89936400000002	4.0
219	3	9	evaluation	3452741.0	30.0	220.89936400000002	4.0
222	3	9	inter_rest	3452741.0	30.0	220.89936400000002	4.0
225	3	10	cue	4572121.0	50.0	244.976677	5.0
228	15	10	imagery	4572121.0	50.0	244.976677	5.0
243	3	10	evaluation	4572121.0	50.0	244.976677	5.0
246	3	10	inter_rest	4572121.0	50.0	244.976677	5.0
249	3	11	cue	4252077.0	43.0	269.285646	4.0
252	15	11	imagery	4252077.0	43.0	269.285646	4.0
267	3	11	evaluation	4252077.0	43.0	269.285646	4.0
270	3	11	inter_rest	4252077.0	43.0	269.285646	4.0
273	3	12	cue	3272010.0	27.0	293.080874	5.0
276	15	12	imagery	3272010.0	27.0	293.080874	5.0
291	3	12	evaluation	3272010.0	27.0	293.080874	5.0
294	3	12	inter_rest	3272010.0	27.0	293.080874	5.0
297	3	13	cue	2274259.0	12.0	316.505214	5.0
