onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2445715.015094	0.000000
42	9	3	stimulus	2843158.009764	0.000000
51	9	4	stimulus	2843158.009764	52.038997
60	9	5	stimulus	3345487.006365	0.000000
69	9	6	stimulus	3038480.001066	0.000000
78	9	7	stimulus	1639765.048759	0.000000
87	9	8	stimulus	2480855.020865	0.000000
96	9	9	stimulus	4197391.003999	0.000000
105	9	10	stimulus	4412416.012151	0.000000
114	9	11	stimulus	4587559.013463	0.000000
123	9	12	stimulus	3815615.007628	0.000000
132	9	13	stimulus	3815615.007628	133.039683
141	9	14	stimulus	3950228.039297	0.000000
150	9	15	stimulus	4419073.011195	0.000000
159	9	16	stimulus	4284002.013083	0.000000
168	9	17	stimulus	2439033.006549	0.000000
177	9	18	stimulus	4255586.000626	0.000000
186	9	19	stimulus	3397947.010813	0.000000
195	9	20	stimulus	2943871.005579	0.000000
204	9	21	stimulus	2005790.007527	0.000000
213	9	22	stimulus	4442441.003265	0.000000
222	9	23	stimulus	3496296.012686	0.000000
231	9	24	stimulus	2233338.017205	0.000000
240	9	25	stimulus	3063599.003234	0.000000
249	9	26	stimulus	2226429.015538	0.000000
258	9	27	stimulus	3079230.022337	0.000000
267	9	28	stimulus	4254680.010170	0.000000
276	9	29	stimulus	2432983.009121	0.000000
285	9	30	stimulus	3261776.040091	0.000000
294	9	31	stimulus	3467796.005051	0.000000
303	9	32	stimulus	1645776.009743	0.000000
312	9	33	stimulus	2374451.019966	0.000000
321	9	34	stimulus	3255030.008996	0.000000
330	9	35	stimulus	2481823.013867	0.000000
339	9	36	stimulus	4376876.010149	0.000000
348	9	37	stimulus	3436182.001660	0.000000
357	9	38	stimulus	3425413.013788	0.000000
366	9	39	stimulus	2346627.002234	0.000000
375	9	40	stimulus	2346627.002234	376.040691
384	9	41	stimulus	3837869.005198	0.000000
393	9	42	stimulus	1877134.010188	0.000000
402	9	43	stimulus	1833805.011890	0.000000
411	9	44	stimulus	3359137.026112	0.000000
420	9	45	stimulus	1768244.006450	0.000000
429	9	46	stimulus	7734017.006281	0.000000
438	9	47	stimulus	4555897.013510	0.000000
447	9	48	stimulus	2808440.019589	0.000000
456	9	49	stimulus	2808440.019589	457.041306
465	9	50	stimulus	4180888.004080	0.000000
474	9	51	stimulus	2317335.020064	0.000000
483	9	52	stimulus	2799175.015265	0.000000
492	9	53	stimulus	2799175.015265	493.039491
501	9	54	stimulus	2766534.034864	0.000000
510	9	55	stimulus	12582231.018321	0.000000
519	9	56	stimulus	4123740.014377	0.000000
528	6	57	rest	n/a	0.000000
