onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.000000
33	9	2	stimulus	2068974.013351	n02068974_13351	21	162	0.000000
42	9	3	stimulus	2766534.000137	n02766534_137	41	323	48.041610
51	9	4	stimulus	2480855.011704	n02480855_11704	36	281	0.000000
60	9	5	stimulus	4180888.003216	n04180888_3216	115	916	0.000000
69	9	6	stimulus	3760671.012018	n03760671_12018	94	746	0.000000
78	9	7	stimulus	4612026.007911	n04612026_7911	142	1136	0.000000
87	9	8	stimulus	4612026.007911	n04612026_7911	142	1136	88.041638
96	9	9	stimulus	2054036.007221	n02054036_7221	19	151	0.000000
105	9	10	stimulus	3792782.007077	n03792782_7077	96	767	0.000000
114	9	11	stimulus	2974003.009408	n02974003_9408	53	424	0.000000
123	9	12	stimulus	3886762.011269	n03886762_11269	100	794	0.000000
132	9	13	stimulus	3982430.038731	n03982430_38731	104	830	0.000000
141	9	14	stimulus	3079230.033060	n03079230_33060	57	454	0.000000
150	9	15	stimulus	4070727.021435	n04070727_21435	107	852	0.000000
159	9	16	stimulus	7758680.011558	n07758680_11558	146	1161	0.000000
168	9	17	stimulus	2374451.017284	n02374451_17284	30	237	0.000000
177	9	18	stimulus	4412416.014153	n04412416_14153	132	1052	0.000000
186	9	19	stimulus	1770393.028281	n01770393_28281	8	63	0.000000
195	9	20	stimulus	3472535.004373	n03472535_4373	74	590	0.000000
204	9	21	stimulus	1944390.020670	n01944390_20670	15	118	0.000000
213	9	22	stimulus	4123740.010780	n04123740_10780	111	881	0.000000
222	9	23	stimulus	2346627.010311	n02346627_10311	29	225	0.000000
231	9	24	stimulus	7756951.013102	n07756951_13102	145	1153	0.000000
240	9	25	stimulus	3743279.004728	n03743279_4728	92	733	0.000000
249	9	26	stimulus	2998003.007121	n02998003_7121	54	431	0.000000
258	9	27	stimulus	2998003.007121	n02998003_7121	54	431	259.046220
267	9	28	stimulus	3543603.007440	n03543603_7440	80	638	0.000000
276	9	29	stimulus	4442312.013628	n04442312_13628	134	1067	0.000000
285	9	30	stimulus	3607659.007355	n03607659_7355	83	662	0.000000
294	9	31	stimulus	2943871.004136	n02943871_4136	52	412	0.000000
303	9	32	stimulus	12596148.004136	n12596148_4136	149	1186	0.000000
312	9	33	stimulus	3494278.027938	n03494278_27938	76	602	0.000000
321	9	34	stimulus	3261776.016887	n03261776_16887	63	498	0.000000
330	9	35	stimulus	4313503.021714	n04313503_21714	124	988	0.000000
339	9	36	stimulus	4442441.005660	n04442441_5660	135	1077	0.000000
348	9	37	stimulus	4477387.007671	n04477387_7671	136	1087	0.000000
357	9	38	stimulus	2236241.005223	n02236241_5223	27	212	0.000000
366	9	39	stimulus	2236241.005223	n02236241_5223	27	212	367.091636
375	9	40	stimulus	3609235.001655	n03609235_1655	84	666	0.000000
384	9	41	stimulus	1726692.008752	n01726692_8752	6	46	0.000000
393	9	42	stimulus	2843158.006490	n02843158_6490	49	389	0.000000
402	9	43	stimulus	3335030.014253	n03335030_14253	64	506	0.000000
411	9	44	stimulus	3335030.014253	n03335030_14253	64	506	412.043177
420	9	45	stimulus	4376876.014622	n04376876_14622	127	1013	0.000000
429	9	46	stimulus	4482393.018295	n04482393_18295	137	1092	0.000000
438	9	47	stimulus	4482393.018295	n04482393_18295	137	1092	439.037985
447	9	48	stimulus	4320973.012980	n04320973_12980	125	994	0.000000
456	9	49	stimulus	4409806.016250	n04409806_16250	131	1043	0.000000
465	9	50	stimulus	3623556.020302	n03623556_20302	86	684	0.000000
474	9	51	stimulus	3038480.007843	n03038480_7843	55	440	0.000000
483	9	52	stimulus	4113406.019025	n04113406_19025	110	875	0.000000
492	9	53	stimulus	4233124.014971	n04233124_14971	118	940	0.000000
501	9	54	stimulus	1784675.015784	n01784675_15784	10	76	0.000000
510	9	55	stimulus	4409515.008358	n04409515_8358	130	1040	0.000000
519	9	56	stimulus	3642806.013072	n03642806_13072	87	689	0.000000
528	6	57	rest	n/a	n/a	n/a	n/a	0.000000
