onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2226429.017165	0.000000
42	9	3	stimulus	4477387.006623	0.000000
51	9	4	stimulus	1787835.010128	0.000000
60	9	5	stimulus	1704323.009812	0.000000
69	9	6	stimulus	1704323.009812	70.044505
78	9	7	stimulus	4255586.000878	0.000000
87	9	8	stimulus	3400231.005694	0.000000
96	9	9	stimulus	3400231.005694	97.039165
105	9	10	stimulus	4180888.005987	0.000000
114	9	11	stimulus	3544143.001497	0.000000
123	9	12	stimulus	2974003.006740	0.000000
132	9	13	stimulus	4376876.013235	0.000000
141	9	14	stimulus	4587559.007411	0.000000
150	9	15	stimulus	3472535.008251	0.000000
159	9	16	stimulus	1944390.019503	0.000000
168	9	17	stimulus	2055803.004843	0.000000
177	9	18	stimulus	3483823.007612	0.000000
186	9	19	stimulus	1970164.023221	0.000000
195	9	20	stimulus	3445777.010782	0.000000
204	9	21	stimulus	3793489.001565	0.000000
213	9	22	stimulus	2346627.022283	0.000000
222	9	23	stimulus	3950228.020813	0.000000
231	9	24	stimulus	4497801.000076	0.000000
240	9	25	stimulus	2841315.018830	0.000000
249	9	26	stimulus	2799175.007198	0.000000
258	9	27	stimulus	4123740.007009	0.000000
267	9	28	stimulus	2374451.018010	0.000000
276	9	29	stimulus	3085013.024313	0.000000
285	9	30	stimulus	3918737.022699	0.000000
294	9	31	stimulus	1639765.040261	0.000000
303	9	32	stimulus	11978233.026590	0.000000
312	9	33	stimulus	11978233.026590	313.045757
321	9	34	stimulus	3255030.007581	0.000000
330	9	35	stimulus	4168199.009434	0.000000
339	9	36	stimulus	4168199.009434	340.040061
348	9	37	stimulus	2233338.000214	0.000000
357	9	38	stimulus	3261776.025824	0.000000
366	9	39	stimulus	1518878.010042	0.000000
375	9	40	stimulus	2814860.035555	0.000000
384	9	41	stimulus	2391049.008178	0.000000
393	9	42	stimulus	2090827.007426	0.000000
402	9	43	stimulus	1645776.009693	0.000000
411	9	44	stimulus	2084071.014426	0.000000
420	9	45	stimulus	2084071.014426	421.040710
429	9	46	stimulus	3494278.035790	0.000000
438	9	47	stimulus	2843158.005600	0.000000
447	9	48	stimulus	4233124.017123	0.000000
456	9	49	stimulus	3394916.030808	0.000000
465	9	50	stimulus	2236241.006815	0.000000
474	9	51	stimulus	4412416.011267	0.000000
483	9	52	stimulus	3612010.016528	0.000000
492	9	53	stimulus	3665924.044847	0.000000
501	9	54	stimulus	3623556.006577	0.000000
510	9	55	stimulus	3609235.007271	0.000000
519	9	56	stimulus	1877134.011991	0.000000
528	6	57	rest	n/a	0.000000
