onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2439033.008005	0.000000
42	9	3	stimulus	3886762.018101	0.000000
51	9	4	stimulus	4373894.043971	0.000000
60	9	5	stimulus	3982430.015760	0.000000
69	9	6	stimulus	3345487.002612	0.000000
78	9	7	stimulus	1726692.009090	0.000000
87	9	8	stimulus	4442312.015619	0.000000
96	9	9	stimulus	1768244.009298	0.000000
105	9	10	stimulus	3187595.005735	0.000000
114	9	11	stimulus	3187595.005735	115.036037
123	9	12	stimulus	1770393.021218	0.000000
132	9	13	stimulus	3721384.022007	0.000000
141	9	14	stimulus	3602883.015696	0.000000
150	9	15	stimulus	2481823.020882	0.000000
159	9	16	stimulus	3790512.023966	0.000000
168	9	17	stimulus	1772222.012347	0.000000
177	9	18	stimulus	3792782.021048	0.000000
186	9	19	stimulus	3792782.021048	187.049412
195	9	20	stimulus	2692877.011314	0.000000
204	9	21	stimulus	3607659.006257	0.000000
213	9	22	stimulus	2131653.012495	0.000000
222	9	23	stimulus	4409515.002581	0.000000
231	9	24	stimulus	2068974.004003	0.000000
240	9	25	stimulus	2885462.009267	0.000000
249	9	26	stimulus	3541923.009436	0.000000
258	9	27	stimulus	4225987.005124	0.000000
267	9	28	stimulus	4225987.005124	268.049961
276	9	29	stimulus	13111881.009170	0.000000
285	9	30	stimulus	3837869.007066	0.000000
294	9	31	stimulus	7756951.015873	0.000000
303	9	32	stimulus	2005790.001902	0.000000
312	9	33	stimulus	3467796.005384	0.000000
321	9	34	stimulus	3467796.005384	322.039094
330	9	35	stimulus	3512147.033515	0.000000
339	9	36	stimulus	2503517.003324	0.000000
348	9	37	stimulus	4009552.015796	0.000000
357	9	38	stimulus	4482393.024979	0.000000
366	9	39	stimulus	3743279.013788	0.000000
375	9	40	stimulus	3079230.013074	0.000000
384	9	41	stimulus	4272054.021409	0.000000
393	9	42	stimulus	1855672.015809	0.000000
402	9	43	stimulus	2808440.015163	0.000000
411	9	44	stimulus	2808440.015163	412.043405
420	9	45	stimulus	3760671.013659	0.000000
429	9	46	stimulus	7758680.022370	0.000000
438	9	47	stimulus	4086273.012913	0.000000
447	9	48	stimulus	3335030.041914	0.000000
456	9	49	stimulus	3642806.027943	0.000000
465	9	50	stimulus	2998003.001995	0.000000
474	9	51	stimulus	4113406.005900	0.000000
483	9	52	stimulus	3746005.002516	0.000000
492	9	53	stimulus	4409806.005820	0.000000
501	9	54	stimulus	2432983.031019	0.000000
510	9	55	stimulus	2802215.004806	0.000000
519	9	56	stimulus	2445715.005508	0.000000
528	6	57	rest	n/a	0.000000
