onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	3792782.013140	n03792782_13140	96	761	n/a
42	9	3	stimulus	4477387.009242	n04477387_9242	136	1088	n/a
51	9	4	stimulus	4587559.011491	n04587559_11491	140	1114	n/a
60	9	5	stimulus	3623556.017722	n03623556_17722	86	683	n/a
69	9	6	stimulus	3623556.017722	n03623556_17722	86	683	70.033887
78	9	7	stimulus	3467796.003445	n03467796_3445	73	578	n/a
87	9	8	stimulus	3602883.016220	n03602883_16220	82	654	n/a
96	9	9	stimulus	1855672.015310	n01855672_15310	13	101	n/a
105	9	10	stimulus	2799175.014140	n02799175_14140	43	339	n/a
114	9	11	stimulus	3085219.007432	n03085219_7432	59	471	n/a
123	9	12	stimulus	4233124.024091	n04233124_24091	118	944	n/a
132	9	13	stimulus	4233124.024091	n04233124_24091	118	944	133.043518
141	9	14	stimulus	2943871.010058	n02943871_10058	52	409	n/a
150	9	15	stimulus	3079230.020064	n03079230_20064	57	451	n/a
159	9	16	stimulus	1704323.009172	n01704323_9172	5	39	n/a
168	9	17	stimulus	3607659.003955	n03607659_3955	83	659	n/a
177	9	18	stimulus	12596148.005651	n12596148_5651	149	1188	n/a
186	9	19	stimulus	1772222.016161	n01772222_16161	9	72	n/a
195	9	20	stimulus	4591713.005442	n04591713_5442	141	1125	n/a
204	9	21	stimulus	4591713.005442	n04591713_5442	141	1125	205.040300
213	9	22	stimulus	2472293.000131	n02472293_131	35	274	n/a
222	9	23	stimulus	4320973.007391	n04320973_7391	125	999	n/a
231	9	24	stimulus	2503517.005673	n02503517_5673	38	301	n/a
240	9	25	stimulus	4254680.001190	n04254680_1190	119	947	n/a
249	9	26	stimulus	2226429.014311	n02226429_14311	25	196	n/a
258	9	27	stimulus	3924679.009951	n03924679_9951	102	816	n/a
267	9	28	stimulus	3924679.009951	n03924679_9951	102	816	268.033022
276	9	29	stimulus	2054036.019199	n02054036_19199	19	148	n/a
285	9	30	stimulus	4225987.013452	n04225987_13452	117	930	n/a
294	9	31	stimulus	3494278.029023	n03494278_29023	76	603	n/a
303	9	32	stimulus	4197391.006992	n04197391_6992	116	927	n/a
312	9	33	stimulus	1768244.007788	n01768244_7788	7	53	n/a
321	9	34	stimulus	3918737.027172	n03918737_27172	101	806	n/a
330	9	35	stimulus	4409515.003798	n04409515_3798	130	1037	n/a
339	9	36	stimulus	7758680.014681	n07758680_14681	146	1164	n/a
348	9	37	stimulus	3612010.010712	n03612010_10712	85	673	n/a
357	9	38	stimulus	2841315.016314	n02841315_16314	48	380	n/a
366	9	39	stimulus	2802215.006616	n02802215_6616	45	359	n/a
375	9	40	stimulus	2374451.012720	n02374451_12720	30	234	n/a
384	9	41	stimulus	3085013.022686	n03085013_22686	58	459	n/a
393	9	42	stimulus	3063599.004784	n03063599_4784	56	447	n/a
402	9	43	stimulus	1787835.009197	n01787835_9197	11	88	n/a
411	9	44	stimulus	4442441.007248	n04442441_7248	135	1080	n/a
420	9	45	stimulus	3038480.000279	n03038480_279	55	436	n/a
429	9	46	stimulus	7756951.017656	n07756951_17656	145	1158	n/a
438	9	47	stimulus	3397947.002934	n03397947_2934	68	539	n/a
447	9	48	stimulus	4009552.018384	n04009552_18384	105	837	n/a
456	9	49	stimulus	3543603.009964	n03543603_9964	80	640	n/a
465	9	50	stimulus	2974003.008115	n02974003_8115	53	422	n/a
474	9	51	stimulus	2439033.017123	n02439033_17123	33	260	n/a
483	9	52	stimulus	2439033.017123	n02439033_17123	33	260	484.039635
492	9	53	stimulus	4090263.016066	n04090263_16066	109	867	n/a
501	9	54	stimulus	3642806.015854	n03642806_15854	87	690	n/a
510	9	55	stimulus	3793489.013628	n03793489_13628	97	771	n/a
519	9	56	stimulus	3425413.020014	n03425413_20014	70	556	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
