onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	12596148.004874	0.000000
42	9	3	stimulus	4313503.023211	0.000000
51	9	4	stimulus	3924679.005901	0.000000
60	9	5	stimulus	3483823.006332	0.000000
69	9	6	stimulus	4587559.006132	0.000000
78	9	7	stimulus	2802215.026105	0.000000
87	9	8	stimulus	4225987.006536	0.000000
96	9	9	stimulus	4225987.006536	97.033032
105	9	10	stimulus	3743279.012095	0.000000
114	9	11	stimulus	2508213.005695	0.000000
123	9	12	stimulus	3359137.019465	0.000000
132	9	13	stimulus	3445777.009159	0.000000
141	9	14	stimulus	3038480.002196	0.000000
150	9	15	stimulus	4401680.029505	0.000000
159	9	16	stimulus	4180888.001515	0.000000
168	9	17	stimulus	12582231.029287	0.000000
177	9	18	stimulus	3397947.001926	0.000000
186	9	19	stimulus	2769748.032217	0.000000
195	9	20	stimulus	2769748.032217	196.040863
204	9	21	stimulus	4555897.007654	0.000000
213	9	22	stimulus	3543603.010424	0.000000
222	9	23	stimulus	2090827.009305	0.000000
231	9	24	stimulus	3394916.036485	0.000000
240	9	25	stimulus	3255030.000671	0.000000
249	9	26	stimulus	2503517.009095	0.000000
258	9	27	stimulus	4442312.024134	0.000000
267	9	28	stimulus	3918737.004580	0.000000
276	9	29	stimulus	2445715.013221	0.000000
285	9	30	stimulus	2445715.013221	286.045241
294	9	31	stimulus	3950228.018190	0.000000
303	9	32	stimulus	3079230.016134	0.000000
312	9	33	stimulus	4090263.030280	0.000000
321	9	34	stimulus	3425413.020974	0.000000
330	9	35	stimulus	4070727.013150	0.000000
339	9	36	stimulus	4070727.013150	340.034270
348	9	37	stimulus	3085219.004267	0.000000
357	9	38	stimulus	3646296.010069	0.000000
366	9	39	stimulus	3642806.021320	0.000000
375	9	40	stimulus	4482393.013686	0.000000
384	9	41	stimulus	2943871.003559	0.000000
393	9	42	stimulus	2055803.005499	0.000000
402	9	43	stimulus	4086273.003464	0.000000
411	9	44	stimulus	4154565.020567	0.000000
420	9	45	stimulus	3982430.037727	0.000000
429	9	46	stimulus	1645776.009576	0.000000
438	9	47	stimulus	1963571.011908	0.000000
447	9	48	stimulus	3345487.007233	0.000000
456	9	49	stimulus	2131653.010825	0.000000
465	9	50	stimulus	11978233.042157	0.000000
474	9	51	stimulus	7734017.004118	0.000000
483	9	52	stimulus	1518878.014910	0.000000
492	9	53	stimulus	3335030.026098	0.000000
501	9	54	stimulus	3335030.026098	502.035325
510	9	55	stimulus	2841315.010982	0.000000
519	9	56	stimulus	3494278.040471	0.000000
528	6	57	rest	n/a	0.000000
