onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2432983.024646	0.000000
42	9	3	stimulus	4442441.004452	0.000000
51	9	4	stimulus	4284002.015310	0.000000
60	9	5	stimulus	4555897.026505	0.000000
69	9	6	stimulus	4233124.015821	0.000000
78	9	7	stimulus	4180888.002422	0.000000
87	9	8	stimulus	3649909.013625	0.000000
96	9	9	stimulus	2445715.003558	0.000000
105	9	10	stimulus	1963571.005610	0.000000
114	9	11	stimulus	3496296.004945	0.000000
123	9	12	stimulus	2131653.007902	0.000000
132	9	13	stimulus	3918737.015240	0.000000
141	9	14	stimulus	2391049.002789	0.000000
150	9	15	stimulus	2998003.004611	0.000000
159	9	16	stimulus	2800213.004703	0.000000
168	9	17	stimulus	1970164.030420	0.000000
177	9	18	stimulus	1704323.010394	0.000000
186	9	19	stimulus	3623556.009879	0.000000
195	9	20	stimulus	3345487.008958	0.000000
204	9	21	stimulus	3345487.008958	204.548453
213	9	22	stimulus	3743279.011113	0.000000
222	9	23	stimulus	3665924.026158	0.000000
231	9	24	stimulus	3261776.029363	0.000000
240	9	25	stimulus	3612010.000871	0.000000
249	9	26	stimulus	3790512.011206	0.000000
258	9	27	stimulus	3982430.029809	0.000000
267	9	28	stimulus	2882647.023990	0.000000
276	9	29	stimulus	3400231.004196	0.000000
285	9	30	stimulus	3063599.002682	0.000000
294	9	31	stimulus	1726692.021053	0.000000
303	9	32	stimulus	2439033.011666	0.000000
312	9	33	stimulus	2974003.008812	0.000000
321	9	34	stimulus	2974003.008812	321.510607
330	9	35	stimulus	3425413.018382	0.000000
339	9	36	stimulus	3255030.018182	0.000000
348	9	37	stimulus	3209910.022305	0.000000
357	9	38	stimulus	4168199.010897	0.000000
366	9	39	stimulus	2054036.017099	0.000000
375	9	40	stimulus	2054036.017099	376.216298
384	9	41	stimulus	2692877.019950	0.000000
393	9	42	stimulus	4272054.061432	0.000000
402	9	43	stimulus	4376876.007775	0.000000
411	9	44	stimulus	7734744.005653	0.000000
420	9	45	stimulus	3646296.009175	0.000000
429	9	46	stimulus	12582231.027245	0.000000
438	9	47	stimulus	12582231.027245	439.066246
447	9	48	stimulus	4197391.011231	0.000000
456	9	49	stimulus	4255586.002163	0.000000
465	9	50	stimulus	3950228.035453	0.000000
474	9	51	stimulus	4398044.016414	0.000000
483	9	52	stimulus	4442312.010246	0.000000
492	9	53	stimulus	2508213.010059	0.000000
501	9	54	stimulus	2508213.010059	502.033695
510	9	55	stimulus	2055803.007345	0.000000
519	9	56	stimulus	4587559.010400	0.000000
528	6	57	rest	n/a	0.000000
