onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	3918737.011347	n03918737_11347	101	801	n/a
42	9	3	stimulus	2841315.012821	n02841315_12821	48	378	n/a
51	9	4	stimulus	2068974.002736	n02068974_2736	21	164	n/a
60	9	5	stimulus	2068974.002736	n02068974_2736	21	164	61.029760
69	9	6	stimulus	3642806.006122	n03642806_6122	87	696	n/a
78	9	7	stimulus	3345487.022197	n03345487_22197	65	515	n/a
87	9	8	stimulus	2943871.009326	n02943871_9326	52	416	n/a
96	9	9	stimulus	2055803.009018	n02055803_9018	20	159	n/a
105	9	10	stimulus	4412416.006897	n04412416_6897	132	1054	n/a
114	9	11	stimulus	1787835.010392	n01787835_10392	11	82	n/a
123	9	12	stimulus	1664990.000065	n01664990_65	4	31	n/a
132	9	13	stimulus	1664990.000065	n01664990_65	4	31	133.043097
141	9	14	stimulus	3038480.003370	n03038480_3370	55	438	n/a
150	9	15	stimulus	7734744.018574	n07734744_18574	144	1146	n/a
159	9	16	stimulus	3335030.054164	n03335030_54164	64	512	n/a
168	9	17	stimulus	1770393.014471	n01770393_14471	8	59	n/a
177	9	18	stimulus	4376876.010606	n04376876_10606	127	1010	n/a
186	9	19	stimulus	3085219.003190	n03085219_3190	59	465	n/a
195	9	20	stimulus	4180888.008500	n04180888_8500	115	920	n/a
204	9	21	stimulus	1970164.030734	n01970164_30734	17	136	n/a
213	9	22	stimulus	3607659.005173	n03607659_5173	83	660	n/a
222	9	23	stimulus	11978233.016933	n11978233_16933	147	1169	n/a
231	9	24	stimulus	2974003.001210	n02974003_1210	53	417	n/a
240	9	25	stimulus	2346627.007809	n02346627_7809	29	232	n/a
249	9	26	stimulus	3815615.019824	n03815615_19824	98	779	n/a
258	9	27	stimulus	1645776.010130	n01645776_10130	3	17	n/a
267	9	28	stimulus	1944390.021065	n01944390_21065	15	120	n/a
276	9	29	stimulus	2998003.005381	n02998003_5381	54	429	n/a
285	9	30	stimulus	1726692.031558	n01726692_31558	6	44	n/a
294	9	31	stimulus	3445777.004123	n03445777_4123	72	571	n/a
303	9	32	stimulus	2005790.010287	n02005790_10287	18	137	n/a
312	9	33	stimulus	3436182.005137	n03436182_5137	71	566	n/a
321	9	34	stimulus	3436182.005137	n03436182_5137	71	566	322.038424
330	9	35	stimulus	4197391.015574	n04197391_15574	116	923	n/a
339	9	36	stimulus	7758680.012418	n07758680_12418	146	1162	n/a
348	9	37	stimulus	2084071.017818	n02084071_17818	22	170	n/a
357	9	38	stimulus	4401680.021301	n04401680_21301	129	1026	n/a
366	9	39	stimulus	3886762.007939	n03886762_7939	100	799	n/a
375	9	40	stimulus	4482393.014854	n04482393_14854	137	1091	n/a
384	9	41	stimulus	3467796.002261	n03467796_2261	73	577	n/a
393	9	42	stimulus	2814860.012908	n02814860_12908	47	369	n/a
402	9	43	stimulus	4313503.023067	n04313503_23067	124	990	n/a
411	9	44	stimulus	3924679.003671	n03924679_3671	102	812	n/a
420	9	45	stimulus	3924679.003671	n03924679_3671	102	812	n/a
429	9	46	stimulus	2233338.006133	n02233338_6133	26	207	n/a
438	9	47	stimulus	4044716.010424	n04044716_10424	106	841	n/a
447	9	48	stimulus	3602883.008804	n03602883_8804	82	656	n/a
456	9	49	stimulus	2769748.026776	n02769748_26776	42	331	n/a
465	9	50	stimulus	1768244.009890	n01768244_9890	7	56	n/a
474	9	51	stimulus	4320973.021297	n04320973_21297	125	997	n/a
483	9	52	stimulus	3743279.007634	n03743279_7634	92	735	n/a
492	9	53	stimulus	1518878.005958	n01518878_5958	1	5	n/a
501	9	54	stimulus	4272054.029465	n04272054_29465	121	963	n/a
510	9	55	stimulus	4272054.029465	n04272054_29465	121	963	511.034094
519	9	56	stimulus	2236241.006498	n02236241_6498	27	213	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
