onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	7756951.014073	n07756951_14073	145	1154	n/a
42	9	3	stimulus	7756951.014073	n07756951_14073	145	1154	43.208382
51	9	4	stimulus	3063599.004061	n03063599_4061	56	444	n/a
60	9	5	stimulus	4373894.031776	n04373894_31776	126	1004	n/a
69	9	6	stimulus	4233124.012727	n04233124_12727	118	937	n/a
78	9	7	stimulus	2233338.009484	n02233338_9484	26	208	n/a
87	9	8	stimulus	4587559.013336	n04587559_13336	140	1117	n/a
96	9	9	stimulus	3544143.004767	n03544143_4767	81	646	n/a
105	9	10	stimulus	2054036.009789	n02054036_9789	19	152	n/a
114	9	11	stimulus	4320973.014553	n04320973_14553	125	995	n/a
123	9	12	stimulus	4442441.006478	n04442441_6478	135	1078	n/a
132	9	13	stimulus	3623556.012791	n03623556_12791	86	681	n/a
141	9	14	stimulus	3623556.012791	n03623556_12791	86	681	142.031412
150	9	15	stimulus	4401680.022803	n04401680_22803	129	1027	n/a
159	9	16	stimulus	3187595.009059	n03187595_9059	60	478	n/a
168	9	17	stimulus	3187595.009059	n03187595_9059	60	478	169.042952
177	9	18	stimulus	4273569.006437	n04273569_6437	122	976	n/a
186	9	19	stimulus	1518878.007346	n01518878_7346	1	6	n/a
195	9	20	stimulus	11978233.018962	n11978233_18962	147	1170	n/a
204	9	21	stimulus	2055803.009893	n02055803_9893	20	160	n/a
213	9	22	stimulus	2769748.043506	n02769748_43506	42	335	n/a
222	9	23	stimulus	4412416.017390	n04412416_17390	132	1053	n/a
231	9	24	stimulus	3665924.055985	n03665924_55985	90	719	n/a
240	9	25	stimulus	3255030.004834	n03255030_4834	62	493	n/a
249	9	26	stimulus	2885462.012304	n02885462_12304	51	401	n/a
258	9	27	stimulus	2226429.011460	n02226429_11460	25	193	n/a
267	9	28	stimulus	1787835.013550	n01787835_13550	11	87	n/a
276	9	29	stimulus	1833805.012464	n01833805_12464	12	92	n/a
285	9	30	stimulus	7734744.005146	n07734744_5146	144	1147	n/a
294	9	31	stimulus	3837869.009127	n03837869_9127	99	792	n/a
303	9	32	stimulus	3790512.035174	n03790512_35174	95	758	n/a
312	9	33	stimulus	2374451.015307	n02374451_15307	30	236	n/a
321	9	34	stimulus	4284002.010270	n04284002_10270	123	977	n/a
330	9	35	stimulus	2799175.015904	n02799175_15904	43	341	n/a
339	9	36	stimulus	3602883.014315	n03602883_14315	82	652	n/a
348	9	37	stimulus	3642806.017261	n03642806_17261	87	691	n/a
357	9	38	stimulus	2800213.021205	n02800213_21205	44	349	n/a
366	9	39	stimulus	2800213.021205	n02800213_21205	44	349	367.042004
375	9	40	stimulus	4070727.023827	n04070727_23827	107	854	n/a
384	9	41	stimulus	3394916.023304	n03394916_23304	67	530	n/a
393	9	42	stimulus	7734017.018410	n07734017_18410	143	1139	n/a
402	9	43	stimulus	4009552.010330	n04009552_10330	105	833	n/a
411	9	44	stimulus	2882647.020395	n02882647_20395	50	396	n/a
420	9	45	stimulus	4555897.030092	n04555897_30092	139	1109	n/a
429	9	46	stimulus	4409515.005752	n04409515_5752	130	1038	n/a
438	9	47	stimulus	4180888.011100	n04180888_11100	115	913	n/a
447	9	48	stimulus	3792782.008413	n03792782_8413	96	768	n/a
456	9	49	stimulus	3400231.002908	n03400231_2908	69	549	n/a
465	9	50	stimulus	1855672.014080	n01855672_14080	13	99	n/a
474	9	51	stimulus	2503517.010053	n02503517_10053	38	297	n/a
483	9	52	stimulus	2503517.010053	n02503517_10053	38	297	484.040985
492	9	53	stimulus	2439033.014148	n02439033_14148	33	258	n/a
501	9	54	stimulus	3609235.004455	n03609235_4455	84	669	n/a
510	9	55	stimulus	2317335.011408	n02317335_11408	28	217	n/a
519	9	56	stimulus	2508213.016531	n02508213_16531	39	309	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
