onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	3	2	cue	4507155	n04507155	47	52.361364	5.0
36	15	2	imagery	4507155	n04507155	47	52.361364	5.0
51	3	2	evaluation	4507155	n04507155	47	52.361364	5.0
54	3	2	inter_rest	4507155	n04507155	47	52.361364	5.0
57	3	3	cue	4387400	n04387400	46	76.376739	5.0
60	15	3	imagery	4387400	n04387400	46	76.376739	5.0
75	3	3	evaluation	4387400	n04387400	46	76.376739	5.0
78	3	3	inter_rest	4387400	n04387400	46	76.376739	5.0
81	3	4	cue	3941684	n03941684	40	100.116467	5.0
84	15	4	imagery	3941684	n03941684	40	100.116467	5.0
99	3	4	evaluation	3941684	n03941684	40	100.116467	5.0
102	3	4	inter_rest	3941684	n03941684	40	100.116467	5.0
105	3	5	cue	2950256	n02950256	21	123.958656	5.0
108	15	5	imagery	2950256	n02950256	21	123.958656	5.0
123	3	5	evaluation	2950256	n02950256	21	123.958656	5.0
126	3	5	inter_rest	2950256	n02950256	21	123.958656	5.0
129	3	6	cue	3237416	n03237416	26	148.202407	5.0
132	15	6	imagery	3237416	n03237416	26	148.202407	5.0
147	3	6	evaluation	3237416	n03237416	26	148.202407	5.0
150	3	6	inter_rest	3237416	n03237416	26	148.202407	5.0
153	3	7	cue	4252077	n04252077	43	172.264193	5.0
156	15	7	imagery	4252077	n04252077	43	172.264193	5.0
171	3	7	evaluation	4252077	n04252077	43	172.264193	5.0
174	3	7	inter_rest	4252077	n04252077	43	172.264193	5.0
177	3	8	cue	1677366	n01677366	3	195.973498	5.0
180	15	8	imagery	1677366	n01677366	3	195.973498	5.0
195	3	8	evaluation	1677366	n01677366	3	195.973498	5.0
198	3	8	inter_rest	1677366	n01677366	3	195.973498	5.0
201	3	9	cue	3482252	n03482252	32	220.132522	5.0
204	15	9	imagery	3482252	n03482252	32	220.132522	5.0
219	3	9	evaluation	3482252	n03482252	32	220.132522	5.0
222	3	9	inter_rest	3482252	n03482252	32	220.132522	5.0
225	3	10	cue	2190790	n02190790	11	244.158749	5.0
228	15	10	imagery	2190790	n02190790	11	244.158749	5.0
243	3	10	evaluation	2190790	n02190790	11	244.158749	5.0
246	3	10	inter_rest	2190790	n02190790	11	244.158749	5.0
249	3	11	cue	1858441	n01858441	5	268.286772	5.0
252	15	11	imagery	1858441	n01858441	5	268.286772	5.0
267	3	11	evaluation	1858441	n01858441	5	268.286772	5.0
270	3	11	inter_rest	1858441	n01858441	5	268.286772	5.0
273	3	12	cue	3124170	n03124170	25	292.462782	4.0
276	15	12	imagery	3124170	n03124170	25	292.462782	4.0
291	3	12	evaluation	3124170	n03124170	25	292.462782	4.0
294	3	12	inter_rest	3124170	n03124170	25	292.462782	4.0
297	3	13	cue	1443537	n01443537	1	316.521448	3.0
300	15	13	imagery	1443537	n01443537	1	316.521448	3.0
315	3	13	evaluation	1443537	n01443537	1	316.521448	3.0
318	3	13	inter_rest	1443537	n01443537	1	316.521448	3.0
321	3	14	cue	2437971	n02437971	15	339.982973	5.0
