onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n01770393_29944.JPEG	0.000000
42	9	3	stimulus	n04254680_10097.JPEG	0.000000
51	9	4	stimulus	n02766534_15976.JPEG	0.000000
60	9	5	stimulus	n02766534_15976.JPEG	61.029421
69	9	6	stimulus	n03472535_4645.JPEG	0.000000
78	9	7	stimulus	n03472535_4645.JPEG	79.037797
87	9	8	stimulus	n04272054_48893.JPEG	0.000000
96	9	9	stimulus	n04398044_10533.JPEG	0.000000
105	9	10	stimulus	n04255586_1521.JPEG	0.000000
114	9	11	stimulus	n03063599_4177.JPEG	0.000000
123	9	12	stimulus	n03665924_37592.JPEG	0.000000
132	9	13	stimulus	n02472293_34273.JPEG	0.000000
141	9	14	stimulus	n07756951_18174.JPEG	0.000000
150	9	15	stimulus	n04320973_10759.JPEG	0.000000
159	9	16	stimulus	n01877134_11538.JPEG	0.000000
168	9	17	stimulus	n02882647_169.JPEG	0.000000
177	9	18	stimulus	n03187595_6454.JPEG	0.000000
186	9	19	stimulus	n02808440_33372.JPEG	0.000000
195	9	20	stimulus	n04197391_4733.JPEG	0.000000
204	9	21	stimulus	n13111881_11914.JPEG	0.000000
213	9	22	stimulus	n03544143_8694.JPEG	0.000000
222	9	23	stimulus	n01726692_8975.JPEG	0.000000
231	9	24	stimulus	n03649909_24607.JPEG	0.000000
240	9	25	stimulus	n01970164_26421.JPEG	0.000000
249	9	26	stimulus	n03837869_3611.JPEG	0.000000
258	9	27	stimulus	n02236241_1360.JPEG	0.000000
267	9	28	stimulus	n04477387_1527.JPEG	0.000000
276	9	29	stimulus	n02391049_10452.JPEG	0.000000
285	9	30	stimulus	n03721384_28561.JPEG	0.000000
294	9	31	stimulus	n02233338_1068.JPEG	0.000000
303	9	32	stimulus	n03467796_8303.JPEG	0.000000
312	9	33	stimulus	n04497801_14007.JPEG	0.000000
321	9	34	stimulus	n02084071_30865.JPEG	0.000000
330	9	35	stimulus	n03790512_40609.JPEG	0.000000
339	9	36	stimulus	n03793489_16155.JPEG	0.000000
348	9	37	stimulus	n03793489_16155.JPEG	349.032791
357	9	38	stimulus	n02974003_3328.JPEG	0.000000
366	9	39	stimulus	n02692877_14682.JPEG	0.000000
375	9	40	stimulus	n02226429_17436.JPEG	0.000000
384	9	41	stimulus	n01784675_14624.JPEG	0.000000
393	9	42	stimulus	n04412416_8901.JPEG	0.000000
402	9	43	stimulus	n03436182_12210.JPEG	0.000000
411	9	44	stimulus	n03436182_12210.JPEG	412.042415
420	9	45	stimulus	n07734744_6691.JPEG	0.000000
429	9	46	stimulus	n02374451_14233.JPEG	0.000000
438	9	47	stimulus	n04419073_21368.JPEG	0.000000
447	9	48	stimulus	n02843158_4722.JPEG	0.000000
456	9	49	stimulus	n02843158_4722.JPEG	457.044548
465	9	50	stimulus	n02885462_17169.JPEG	0.000000
474	9	51	stimulus	n03612010_6564.JPEG	0.000000
483	9	52	stimulus	n03815615_17450.JPEG	0.000000
492	9	53	stimulus	n03512147_5054.JPEG	0.000000
501	9	54	stimulus	n03261776_31671.JPEG	0.000000
510	9	55	stimulus	n02054036_5709.JPEG	0.000000
519	9	56	stimulus	n01704323_8008.JPEG	0.000000
528	6	57	rest	n/a	0.000000
