onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n02432983_20705.JPEG	0.000000
42	9	3	stimulus	n02236241_3660.JPEG	0.000000
51	9	4	stimulus	n03255030_3029.JPEG	0.000000
60	9	5	stimulus	n11978233_25018.JPEG	0.000000
69	9	6	stimulus	n02998003_6262.JPEG	0.000000
78	9	7	stimulus	n03394916_19217.JPEG	0.000000
87	9	8	stimulus	n03483823_8564.JPEG	0.000000
96	9	9	stimulus	n03665924_17703.JPEG	0.000000
105	9	10	stimulus	n03400231_18679.JPEG	0.000000
114	9	11	stimulus	n04373894_59446.JPEG	0.000000
123	9	12	stimulus	n07734017_11666.JPEG	0.000000
132	9	13	stimulus	n07734744_8048.JPEG	0.000000
141	9	14	stimulus	n03886762_12568.JPEG	0.000000
150	9	15	stimulus	n03886762_12568.JPEG	0.000000
159	9	16	stimulus	n03345487_15782.JPEG	0.000000
168	9	17	stimulus	n04113406_23511.JPEG	0.000000
177	9	18	stimulus	n03837869_6421.JPEG	0.000000
186	9	19	stimulus	n04497801_19746.JPEG	0.000000
195	9	20	stimulus	n02882647_3406.JPEG	0.000000
204	9	21	stimulus	n03743279_8976.JPEG	0.000000
213	9	22	stimulus	n02090827_11579.JPEG	0.000000
222	9	23	stimulus	n01664990_16740.JPEG	0.000000
231	9	24	stimulus	n01518878_8432.JPEG	0.000000
240	9	25	stimulus	n01518878_8432.JPEG	241.032122
249	9	26	stimulus	n04412416_7597.JPEG	0.000000
258	9	27	stimulus	n04398044_17494.JPEG	0.000000
267	9	28	stimulus	n04401680_28024.JPEG	0.000000
276	9	29	stimulus	n04180888_4820.JPEG	0.000000
285	9	30	stimulus	n04180888_4820.JPEG	0.000000
294	9	31	stimulus	n02131653_3900.JPEG	0.000000
303	9	32	stimulus	n03649909_10010.JPEG	0.000000
312	9	33	stimulus	n03982430_9407.JPEG	0.000000
321	9	34	stimulus	n02766534_21124.JPEG	0.000000
330	9	35	stimulus	n04612026_5059.JPEG	0.000000
339	9	36	stimulus	n04442312_11854.JPEG	0.000000
348	9	37	stimulus	n02885462_17642.JPEG	0.000000
357	9	38	stimulus	n02005790_3943.JPEG	0.000000
366	9	39	stimulus	n02769748_15626.JPEG	0.000000
375	9	40	stimulus	n02769748_15626.JPEG	376.038460
384	9	41	stimulus	n04284002_18325.JPEG	0.000000
393	9	42	stimulus	n03436182_9434.JPEG	0.000000
402	9	43	stimulus	n04555897_18677.JPEG	0.000000
411	9	44	stimulus	n01970164_19716.JPEG	0.000000
420	9	45	stimulus	n02808440_38805.JPEG	0.000000
429	9	46	stimulus	n04409806_9916.JPEG	0.000000
438	9	47	stimulus	n03815615_8756.JPEG	0.000000
447	9	48	stimulus	n03950228_27533.JPEG	0.000000
456	9	49	stimulus	n04168199_9862.JPEG	0.000000
465	9	50	stimulus	n04273569_17297.JPEG	0.000000
474	9	51	stimulus	n01726692_8404.JPEG	0.000000
483	9	52	stimulus	n01726692_8404.JPEG	484.033314
492	9	53	stimulus	n01963571_19866.JPEG	0.000000
501	9	54	stimulus	n03359137_39086.JPEG	0.000000
510	9	55	stimulus	n13111881_15726.JPEG	0.000000
519	9	56	stimulus	n04123740_8706.JPEG	0.000000
528	6	57	rest	n/a	0.000000
