onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	3	2	cue	4507155	n04507155	47	52.680603	4.0
36	15	2	imagery	4507155	n04507155	47	52.680603	4.0
51	3	2	evaluation	4507155	n04507155	47	52.680603	4.0
54	3	2	inter_rest	4507155	n04507155	47	52.680603	4.0
57	3	3	cue	3379051	n03379051	29	76.955850	3.0
60	15	3	imagery	3379051	n03379051	29	76.955850	3.0
75	3	3	evaluation	3379051	n03379051	29	76.955850	3.0
78	3	3	inter_rest	3379051	n03379051	29	76.955850	3.0
81	3	4	cue	2882301	n02882301	19	101.016295	3.0
84	15	4	imagery	2882301	n02882301	19	101.016295	3.0
99	3	4	evaluation	2882301	n02882301	19	101.016295	3.0
102	3	4	inter_rest	2882301	n02882301	19	101.016295	3.0
105	3	5	cue	2951358	n02951358	22	124.626310	3.0
108	15	5	imagery	2951358	n02951358	22	124.626310	3.0
123	3	5	evaluation	2951358	n02951358	22	124.626310	3.0
126	3	5	inter_rest	2951358	n02951358	22	124.626310	3.0
129	3	6	cue	2416519	n02416519	13	148.987480	3.0
132	15	6	imagery	2416519	n02416519	13	148.987480	3.0
147	3	6	evaluation	2416519	n02416519	13	148.987480	3.0
150	3	6	inter_rest	2416519	n02416519	13	148.987480	3.0
153	3	7	cue	3455488	n03455488	31	172.395725	4.0
156	15	7	imagery	3455488	n03455488	31	172.395725	4.0
171	3	7	evaluation	3455488	n03455488	31	172.395725	4.0
174	3	7	inter_rest	3455488	n03455488	31	172.395725	4.0
177	3	8	cue	3495258	n03495258	33	197.108029	3.0
180	15	8	imagery	3495258	n03495258	33	197.108029	3.0
195	3	8	evaluation	3495258	n03495258	33	197.108029	3.0
198	3	8	inter_rest	3495258	n03495258	33	197.108029	3.0
201	3	9	cue	3237416	n03237416	26	221.482896	3.0
204	15	9	imagery	3237416	n03237416	26	221.482896	3.0
