onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	3345837	53.154491	4
36	15	2	imagery	3345837	53.154491	4
51	3	2	evaluation	3345837	53.154491	4
54	3	2	inter_rest	3345837	53.154491	4
57	3	3	cue	4572121	77.381179	4
60	15	3	imagery	4572121	77.381179	4
75	3	3	evaluation	4572121	77.381179	4
78	3	3	inter_rest	4572121	77.381179	4
81	3	4	cue	3124170	100.641051	3
84	15	4	imagery	3124170	100.641051	3
99	3	4	evaluation	3124170	100.641051	3
102	3	4	inter_rest	3124170	100.641051	3
105	3	5	cue	2437136	124.567664	4
108	15	5	imagery	2437136	124.567664	4
123	3	5	evaluation	2437136	124.567664	4
126	3	5	inter_rest	2437136	124.567664	4
129	3	6	cue	3767745	149.577984	3
132	15	6	imagery	3767745	149.577984	3
147	3	6	evaluation	3767745	149.577984	3
150	3	6	inter_rest	3767745	149.577984	3
153	3	7	cue	3761084	172.704252	3
156	15	7	imagery	3761084	172.704252	3
171	3	7	evaluation	3761084	172.704252	3
174	3	7	inter_rest	3761084	172.704252	3
177	3	8	cue	2416519	196.781036	4
180	15	8	imagery	2416519	196.781036	4
195	3	8	evaluation	2416519	196.781036	4
198	3	8	inter_rest	2416519	196.781036	4
201	3	9	cue	1621127	220.875041	3
204	15	9	imagery	1621127	220.875041	3
219	3	9	evaluation	1621127	220.875041	3
222	3	9	inter_rest	1621127	220.875041	3
225	3	10	cue	2916179	245.068019	4
228	15	10	imagery	2916179	245.068019	4
243	3	10	evaluation	2916179	245.068019	4
246	3	10	inter_rest	2916179	245.068019	4
249	3	11	cue	2128385	269.762263	4
252	15	11	imagery	2128385	269.762263	4
267	3	11	evaluation	2128385	269.762263	4
270	3	11	inter_rest	2128385	269.762263	4
273	3	12	cue	2437971	292.455057	3
276	15	12	imagery	2437971	292.455057	3
291	3	12	evaluation	2437971	292.455057	3
294	3	12	inter_rest	2437971	292.455057	3
297	3	13	cue	4554684	316.797819	4
300	15	13	imagery	4554684	316.797819	4
315	3	13	evaluation	4554684	316.797819	4
318	3	13	inter_rest	4554684	316.797819	4
321	3	14	cue	3941684	341.241585	3
324	15	14	imagery	3941684	341.241585	3
339	3	14	evaluation	3941684	341.241585	3
342	3	14	inter_rest	3941684	341.241585	3
345	3	15	cue	1976957	364.586059	3
348	15	15	imagery	1976957	364.586059	3
363	3	15	evaluation	1976957	364.586059	3
366	3	15	inter_rest	1976957	364.586059	3
369	3	16	cue	4297750	389.062680	4
372	15	16	imagery	4297750	389.062680	4
387	3	16	evaluation	4297750	389.062680	4
390	3	16	inter_rest	4297750	389.062680	4
393	3	17	cue	4254777	412.921126	4
396	15	17	imagery	4254777	412.921126	4
411	3	17	evaluation	4254777	412.921126	4
414	3	17	inter_rest	4254777	412.921126	4
417	3	18	cue	3626115	436.631107	4
420	15	18	imagery	3626115	436.631107	4
435	3	18	evaluation	3626115	436.631107	4
438	3	18	inter_rest	3626115	436.631107	4
441	3	19	cue	3237416	460.709555	4
444	15	19	imagery	3237416	460.709555	4
459	3	19	evaluation	3237416	460.709555	4
462	3	19	inter_rest	3237416	460.709555	4
465	3	20	cue	3064758	484.967919	4
468	15	20	imagery	3064758	484.967919	4
483	3	20	evaluation	3064758	484.967919	4
486	3	20	inter_rest	3064758	484.967919	4
489	3	21	cue	3710193	509.145226	4
492	15	21	imagery	3710193	509.145226	4
507	3	21	evaluation	3710193	509.145226	4
510	3	21	inter_rest	3710193	509.145226	4
513	3	22	cue	1943899	532.704475	4
516	15	22	imagery	1943899	532.704475	4
531	3	22	evaluation	1943899	532.704475	4
534	3	22	inter_rest	1943899	532.704475	4
537	3	23	cue	3272010	557.164654	3
540	15	23	imagery	3272010	557.164654	3
555	3	23	evaluation	3272010	557.164654	3
558	3	23	inter_rest	3272010	557.164654	3
561	3	24	cue	3954393	581.057891	3
564	15	24	imagery	3954393	581.057891	3
579	3	24	evaluation	3954393	581.057891	3
582	3	24	inter_rest	3954393	581.057891	3
585	3	25	cue	3455488	605.384755	4
588	15	25	imagery	3455488	605.384755	4
603	3	25	evaluation	3455488	605.384755	4
606	3	25	inter_rest	3455488	605.384755	4
609	3	26	cue	3452741	629.161539	4
612	15	26	imagery	3452741	629.161539	4
627	3	26	evaluation	3452741	629.161539	4
630	3	26	inter_rest	3452741	629.161539	4
633	6	27	rest	n/a	n/a	n/a
