onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n04252077_10859.JPEG	0.000000
42	9	3	stimulus	n04533802_19479.JPEG	0.000000
51	9	4	stimulus	n01858441_11077.JPEG	0.000000
60	9	5	stimulus	n02437971_5013.JPEG	0.000000
69	9	6	stimulus	n03452741_24622.JPEG	0.000000
78	9	7	stimulus	n02416519_12793.JPEG	0.000000
87	9	8	stimulus	n03345837_12501.JPEG	0.000000
96	9	9	stimulus	n01943899_24131.JPEG	0.000000
105	9	10	stimulus	n03272010_11001.JPEG	0.000000
114	9	11	stimulus	n03272010_11001.JPEG	115.045489
123	9	12	stimulus	n01976957_13223.JPEG	0.000000
132	9	13	stimulus	n02071294_46212.JPEG	0.000000
141	9	14	stimulus	n03122295_31279.JPEG	0.000000
150	9	15	stimulus	n02437136_12836.JPEG	0.000000
159	9	16	stimulus	n03767745_109.JPEG	0.000000
168	9	17	stimulus	n03761084_43533.JPEG	0.000000
177	9	18	stimulus	n03379051_8496.JPEG	0.000000
186	9	19	stimulus	n03379051_8496.JPEG	187.042557
195	9	20	stimulus	n02950256_22949.JPEG	0.000000
204	9	21	stimulus	n02690373_7713.JPEG	0.000000
213	9	22	stimulus	n04507155_21299.JPEG	0.000000
222	9	23	stimulus	n02139199_10398.JPEG	0.000000
231	9	24	stimulus	n02882301_14188.JPEG	0.000000
240	9	25	stimulus	n02824058_18729.JPEG	0.000000
249	9	26	stimulus	n03237416_58334.JPEG	0.000000
258	9	27	stimulus	n02797295_15411.JPEG	0.000000
267	9	28	stimulus	n02797295_15411.JPEG	268.042929
276	9	29	stimulus	n03455488_28622.JPEG	0.000000
285	9	30	stimulus	n04210120_9062.JPEG	0.000000
294	9	31	stimulus	n03954393_10038.JPEG	0.000000
303	9	32	stimulus	n03626115_19498.JPEG	0.000000
312	9	33	stimulus	n04297750_25624.JPEG	0.000000
321	9	34	stimulus	n04297750_25624.JPEG	0.000000
330	9	35	stimulus	n04387400_16693.JPEG	0.000000
339	9	36	stimulus	n03495258_9895.JPEG	0.000000
348	9	37	stimulus	n03710193_22225.JPEG	0.000000
357	9	38	stimulus	n01846331_17038.JPEG	0.000000
366	9	39	stimulus	n02274259_24319.JPEG	0.000000
375	9	40	stimulus	n03124170_13920.JPEG	0.000000
384	9	41	stimulus	n01443537_22563.JPEG	0.000000
393	9	42	stimulus	n02916179_24850.JPEG	0.000000
402	9	43	stimulus	n04572121_3262.JPEG	0.000000
411	9	44	stimulus	n04572121_3262.JPEG	411.519807
420	9	45	stimulus	n02951358_23759.JPEG	0.000000
429	9	46	stimulus	n04554684_53399.JPEG	0.000000
438	9	47	stimulus	n02128385_20264.JPEG	0.000000
447	9	48	stimulus	n02190790_15121.JPEG	0.000000
456	9	49	stimulus	n03064758_38750.JPEG	0.000000
465	9	50	stimulus	n01677366_18182.JPEG	0.000000
474	9	51	stimulus	n03482252_22530.JPEG	0.000000
483	9	52	stimulus	n03941684_21672.JPEG	0.000000
492	9	53	stimulus	n04254777_16338.JPEG	0.000000
501	9	54	stimulus	n03716966_28524.JPEG	0.000000
510	9	55	stimulus	n01621127_19020.JPEG	0.000000
519	9	56	stimulus	n03584254_5040.JPEG	0.000000
528	6	57	rest	n/a	0.000000
