onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	3209910.003841	0.000000
42	9	3	stimulus	4320973.014553	0.000000
51	9	4	stimulus	2317335.017604	0.000000
60	9	5	stimulus	13111881.028475	0.000000
69	9	6	stimulus	3612010.016528	0.000000
78	9	7	stimulus	7734017.004118	0.000000
87	9	8	stimulus	4482393.014854	0.000000
96	9	9	stimulus	1645776.010758	0.000000
105	9	10	stimulus	4254680.003842	0.000000
114	9	11	stimulus	3665924.026158	0.000000
123	9	12	stimulus	1970164.023221	0.000000
132	9	13	stimulus	1970164.023221	134.245846
141	9	14	stimulus	2998003.002616	0.000000
150	9	15	stimulus	3255030.011168	0.000000
159	9	16	stimulus	3982430.006951	0.000000
168	9	17	stimulus	2692877.011314	0.000000
177	9	18	stimulus	2346627.012197	0.000000
186	9	19	stimulus	3815615.008756	0.000000
195	9	20	stimulus	4409806.013419	0.000000
204	9	21	stimulus	7758680.012418	0.000000
213	9	22	stimulus	7758680.012418	216.214387
222	9	23	stimulus	3085013.022686	0.000000
231	9	24	stimulus	3543603.006861	0.000000
240	9	25	stimulus	12582231.021170	0.000000
249	9	26	stimulus	1833805.013294	0.000000
258	9	27	stimulus	4612026.006008	0.000000
267	9	28	stimulus	2802215.026105	0.000000
276	9	29	stimulus	1726692.008404	0.000000
285	9	30	stimulus	3359137.044522	0.000000
294	9	31	stimulus	3359137.044522	296.264290
303	9	32	stimulus	4009552.017201	0.000000
312	9	33	stimulus	3436182.012210	0.000000
321	9	34	stimulus	2068974.007285	0.000000
330	9	35	stimulus	3496296.010113	0.000000
339	9	36	stimulus	3496296.010113	341.282157
348	9	37	stimulus	4070727.018299	0.000000
357	9	38	stimulus	4168199.010150	0.000000
366	9	39	stimulus	3345487.011865	0.000000
375	9	40	stimulus	1944390.019503	0.000000
384	9	41	stimulus	1787835.013550	0.000000
393	9	42	stimulus	2480855.008638	0.000000
402	9	43	stimulus	2084071.014426	0.000000
411	9	44	stimulus	2374451.015307	0.000000
420	9	45	stimulus	2799175.015265	0.000000
429	9	46	stimulus	3793489.001565	0.000000
438	9	47	stimulus	3743279.007634	0.000000
447	9	48	stimulus	3063599.004784	0.000000
456	9	49	stimulus	2005790.010287	0.000000
465	9	50	stimulus	3261776.040091	0.000000
474	9	51	stimulus	4273569.018096	0.000000
483	9	52	stimulus	4401680.017952	0.000000
492	9	53	stimulus	4401680.017952	494.364322
501	9	54	stimulus	4442441.007198	0.000000
510	9	55	stimulus	4591713.005442	0.000000
519	9	56	stimulus	2503517.008447	0.000000
528	6	57	rest	n/a	0.000000
