onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	3	2	cue	3761084	n03761084	38	53.068574	4.0
36	15	2	imagery	3761084	n03761084	38	53.068574	4.0
51	3	2	evaluation	3761084	n03761084	38	53.068574	4.0
54	3	2	inter_rest	3761084	n03761084	38	53.068574	4.0
57	3	3	cue	3626115	n03626115	35	76.826205	4.0
60	15	3	imagery	3626115	n03626115	35	76.826205	4.0
75	3	3	evaluation	3626115	n03626115	35	76.826205	4.0
78	3	3	inter_rest	3626115	n03626115	35	76.826205	4.0
81	3	4	cue	4533802	n04533802	48	100.619524	4.0
84	15	4	imagery	4533802	n04533802	48	100.619524	4.0
99	3	4	evaluation	4533802	n04533802	48	100.619524	4.0
102	3	4	inter_rest	4533802	n04533802	48	100.619524	4.0
105	3	5	cue	4554684	n04554684	49	124.462707	4.0
108	15	5	imagery	4554684	n04554684	49	124.462707	4.0
123	3	5	evaluation	4554684	n04554684	49	124.462707	4.0
126	3	5	inter_rest	4554684	n04554684	49	124.462707	4.0
129	3	6	cue	3941684	n03941684	40	148.689544	3.0
132	15	6	imagery	3941684	n03941684	40	148.689544	3.0
147	3	6	evaluation	3941684	n03941684	40	148.689544	3.0
150	3	6	inter_rest	3941684	n03941684	40	148.689544	3.0
153	3	7	cue	3455488	n03455488	31	173.336532	4.0
156	15	7	imagery	3455488	n03455488	31	173.336532	4.0
171	3	7	evaluation	3455488	n03455488	31	173.336532	4.0
174	3	7	inter_rest	3455488	n03455488	31	173.336532	4.0
177	3	8	cue	4297750	n04297750	45	197.460014	4.0
180	15	8	imagery	4297750	n04297750	45	197.460014	4.0
195	3	8	evaluation	4297750	n04297750	45	197.460014	4.0
198	3	8	inter_rest	4297750	n04297750	45	197.460014	4.0
201	3	9	cue	4572121	n04572121	50	221.236562	4.0
204	15	9	imagery	4572121	n04572121	50	221.236562	4.0
219	3	9	evaluation	4572121	n04572121	50	221.236562	4.0
222	3	9	inter_rest	4572121	n04572121	50	221.236562	4.0
225	3	10	cue	2437971	n02437971	15	244.946405	4.0
228	15	10	imagery	2437971	n02437971	15	244.946405	4.0
243	3	10	evaluation	2437971	n02437971	15	244.946405	4.0
246	3	10	inter_rest	2437971	n02437971	15	244.946405	4.0
249	3	11	cue	1858441	n01858441	5	269.039653	3.0
252	15	11	imagery	1858441	n01858441	5	269.039653	3.0
267	3	11	evaluation	1858441	n01858441	5	269.039653	3.0
270	3	11	inter_rest	1858441	n01858441	5	269.039653	3.0
273	3	12	cue	4252077	n04252077	43	292.749561	4.0
276	15	12	imagery	4252077	n04252077	43	292.749561	4.0
291	3	12	evaluation	4252077	n04252077	43	292.749561	4.0
294	3	12	inter_rest	4252077	n04252077	43	292.749561	4.0
297	3	13	cue	3710193	n03710193	36	317.076400	4.0
300	15	13	imagery	3710193	n03710193	36	317.076400	4.0
315	3	13	evaluation	3710193	n03710193	36	317.076400	4.0
318	3	13	inter_rest	3710193	n03710193	36	317.076400	4.0
321	3	14	cue	2274259	n02274259	12	341.006592	4.0
324	15	14	imagery	2274259	n02274259	12	341.006592	4.0
339	3	14	evaluation	2274259	n02274259	12	341.006592	4.0
342	3	14	inter_rest	2274259	n02274259	12	341.006592	4.0
345	3	15	cue	2950256	n02950256	21	364.996832	4.0
348	15	15	imagery	2950256	n02950256	21	364.996832	4.0
363	3	15	evaluation	2950256	n02950256	21	364.996832	4.0
366	3	15	inter_rest	2950256	n02950256	21	364.996832	4.0
369	3	16	cue	3064758	n03064758	23	389.856861	4.0
372	15	16	imagery	3064758	n03064758	23	389.856861	4.0
387	3	16	evaluation	3064758	n03064758	23	389.856861	4.0
390	3	16	inter_rest	3064758	n03064758	23	389.856861	4.0
393	3	17	cue	3482252	n03482252	32	412.718932	4.0
396	15	17	imagery	3482252	n03482252	32	412.718932	4.0
411	3	17	evaluation	3482252	n03482252	32	412.718932	4.0
414	3	17	inter_rest	3482252	n03482252	32	412.718932	4.0
417	3	18	cue	2824058	n02824058	18	436.745972	4.0
420	15	18	imagery	2824058	n02824058	18	436.745972	4.0
435	3	18	evaluation	2824058	n02824058	18	436.745972	4.0
438	3	18	inter_rest	2824058	n02824058	18	436.745972	4.0
441	3	19	cue	1976957	n01976957	7	n/a	1.0
444	15	19	imagery	1976957	n01976957	7	n/a	1.0
459	3	19	evaluation	1976957	n01976957	7	n/a	1.0
462	3	19	inter_rest	1976957	n01976957	7	n/a	1.0
465	3	20	cue	3237416	n03237416	26	484.429483	4.0
468	15	20	imagery	3237416	n03237416	26	484.429483	4.0
483	3	20	evaluation	3237416	n03237416	26	484.429483	4.0
486	3	20	inter_rest	3237416	n03237416	26	484.429483	4.0
489	3	21	cue	1943899	n01943899	6	508.940609	4.0
492	15	21	imagery	1943899	n01943899	6	508.940609	4.0
507	3	21	evaluation	1943899	n01943899	6	508.940609	4.0
510	3	21	inter_rest	1943899	n01943899	6	508.940609	4.0
513	3	22	cue	2951358	n02951358	22	532.666255	4.0
516	15	22	imagery	2951358	n02951358	22	532.666255	4.0
531	3	22	evaluation	2951358	n02951358	22	532.666255	4.0
534	3	22	inter_rest	2951358	n02951358	22	532.666255	4.0
537	3	23	cue	3584254	n03584254	34	557.460136	3.0
540	15	23	imagery	3584254	n03584254	34	557.460136	3.0
555	3	23	evaluation	3584254	n03584254	34	557.460136	3.0
558	3	23	inter_rest	3584254	n03584254	34	557.460136	3.0
561	3	24	cue	4210120	n04210120	42	580.638008	3.0
564	15	24	imagery	4210120	n04210120	42	580.638008	3.0
579	3	24	evaluation	4210120	n04210120	42	580.638008	3.0
582	3	24	inter_rest	4210120	n04210120	42	580.638008	3.0
585	3	25	cue	1443537	n01443537	1	605.029647	4.0
588	15	25	imagery	1443537	n01443537	1	605.029647	4.0
603	3	25	evaluation	1443537	n01443537	1	605.029647	4.0
606	3	25	inter_rest	1443537	n01443537	1	605.029647	4.0
609	3	26	cue	2416519	n02416519	13	629.490139	3.0
612	15	26	imagery	2416519	n02416519	13	629.490139	3.0
627	3	26	evaluation	2416519	n02416519	13	629.490139	3.0
630	3	26	inter_rest	2416519	n02416519	13	629.490139	3.0
633	6	27	rest	n/a	n/a	n/a	n/a	n/a
