onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	null	null	null
33	3	2	cue	n02797295	52.484621	4
36	15	2	imagery	n02797295	52.484621	4
51	3	2	evaluation	n02797295	52.484621	4
54	3	2	inter_rest	n02797295	52.484621	4
57	3	3	cue	n02437971	77.561520	4
60	15	3	imagery	n02437971	77.561520	4
75	3	3	evaluation	n02437971	77.561520	4
78	3	3	inter_rest	n02437971	77.561520	4
81	3	4	cue	n03767745	101.188382	4
84	15	4	imagery	n03767745	101.188382	4
99	3	4	evaluation	n03767745	101.188382	4
102	3	4	inter_rest	n03767745	101.188382	4
105	3	5	cue	n03584254	124.998344	3
108	15	5	imagery	n03584254	124.998344	3
123	3	5	evaluation	n03584254	124.998344	3
126	3	5	inter_rest	n03584254	124.998344	3
129	3	6	cue	n03455488	148.994121	4
132	15	6	imagery	n03455488	148.994121	4
147	3	6	evaluation	n03455488	148.994121	4
150	3	6	inter_rest	n03455488	148.994121	4
153	3	7	cue	n02416519	173.151588	3
156	15	7	imagery	n02416519	173.151588	3
171	3	7	evaluation	n02416519	173.151588	3
174	3	7	inter_rest	n02416519	173.151588	3
177	3	8	cue	n01677366	197.630910	3
180	15	8	imagery	n01677366	197.630910	3
195	3	8	evaluation	n01677366	197.630910	3
198	3	8	inter_rest	n01677366	197.630910	3
201	3	9	cue	n02071294	221.154964	4
204	15	9	imagery	n02071294	221.154964	4
219	3	9	evaluation	n02071294	221.154964	4
222	3	9	inter_rest	n02071294	221.154964	4
225	3	10	cue	n02951358	0.000000	1
228	15	10	imagery	n02951358	0.000000	1
243	3	10	evaluation	n02951358	0.000000	1
246	3	10	inter_rest	n02951358	0.000000	1
249	3	11	cue	n01443537	0.000000	1
252	15	11	imagery	n01443537	0.000000	1
267	3	11	evaluation	n01443537	0.000000	1
270	3	11	inter_rest	n01443537	0.000000	1
273	3	12	cue	n02882301	0.000000	1
276	15	12	imagery	n02882301	0.000000	1
291	3	12	evaluation	n02882301	0.000000	1
294	3	12	inter_rest	n02882301	0.000000	1
297	3	13	cue	n03495258	318.078866	3
300	15	13	imagery	n03495258	318.078866	3
315	3	13	evaluation	n03495258	318.078866	3
318	3	13	inter_rest	n03495258	318.078866	3
321	3	14	cue	n02950256	341.255145	4
324	15	14	imagery	n02950256	341.255145	4
339	3	14	evaluation	n02950256	341.255145	4
342	3	14	inter_rest	n02950256	341.255145	4
345	3	15	cue	n02824058	364.831773	4
348	15	15	imagery	n02824058	364.831773	4
363	3	15	evaluation	n02824058	364.831773	4
366	3	15	inter_rest	n02824058	364.831773	4
369	3	16	cue	n04254777	388.608227	4
372	15	16	imagery	n04254777	388.608227	4
387	3	16	evaluation	n04254777	388.608227	4
390	3	16	inter_rest	n04254777	388.608227	4
393	3	17	cue	n02690373	413.619978	4
396	15	17	imagery	n02690373	413.619978	4
411	3	17	evaluation	n02690373	413.619978	4
414	3	17	inter_rest	n02690373	413.619978	4
417	3	18	cue	n03237416	436.996680	3
420	15	18	imagery	n03237416	436.996680	3
435	3	18	evaluation	n03237416	436.996680	3
438	3	18	inter_rest	n03237416	436.996680	3
441	3	19	cue	n04387400	0.000000	1
444	15	19	imagery	n04387400	0.000000	1
459	3	19	evaluation	n04387400	0.000000	1
462	3	19	inter_rest	n04387400	0.000000	1
465	3	20	cue	n02190790	484.848021	3
468	15	20	imagery	n02190790	484.848021	3
483	3	20	evaluation	n02190790	484.848021	3
486	3	20	inter_rest	n02190790	484.848021	3
489	3	21	cue	n01858441	0.000000	1
492	15	21	imagery	n01858441	0.000000	1
507	3	21	evaluation	n01858441	0.000000	1
510	3	21	inter_rest	n01858441	0.000000	1
513	3	22	cue	n01621127	533.602652	3
516	15	22	imagery	n01621127	533.602652	3
531	3	22	evaluation	n01621127	533.602652	3
534	3	22	inter_rest	n01621127	533.602652	3
537	3	23	cue	n03452741	557.111404	3
540	15	23	imagery	n03452741	557.111404	3
555	3	23	evaluation	n03452741	557.111404	3
558	3	23	inter_rest	n03452741	557.111404	3
561	3	24	cue	n02916179	0.000000	1
564	15	24	imagery	n02916179	0.000000	1
579	3	24	evaluation	n02916179	0.000000	1
582	3	24	inter_rest	n02916179	0.000000	1
585	3	25	cue	n01943899	0.000000	1
588	15	25	imagery	n01943899	0.000000	1
603	3	25	evaluation	n01943899	0.000000	1
606	3	25	inter_rest	n01943899	0.000000	1
609	3	26	cue	n04507155	628.608634	4
612	15	26	imagery	n04507155	628.608634	4
627	3	26	evaluation	n04507155	628.608634	4
630	3	26	inter_rest	n04507155	628.608634	4
633	6	27	rest	null	null	null
