onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	n03064758	52.394153	5
36	15	2	imagery	n03064758	52.394153	5
51	3	2	evaluation	n03064758	52.394153	5
54	3	2	inter_rest	n03064758	52.394153	5
57	3	3	cue	n02824058	76.137556	5
60	15	3	imagery	n02824058	76.137556	5
75	3	3	evaluation	n02824058	76.137556	5
78	3	3	inter_rest	n02824058	76.137556	5
81	3	4	cue	n03767745	100.214310	5
84	15	4	imagery	n03767745	100.214310	5
99	3	4	evaluation	n03767745	100.214310	5
102	3	4	inter_rest	n03767745	100.214310	5
105	3	5	cue	n03716966	124.023993	5
108	15	5	imagery	n03716966	124.023993	5
123	3	5	evaluation	n03716966	124.023993	5
126	3	5	inter_rest	n03716966	124.023993	5
129	3	6	cue	n02882301	148.117475	3
132	15	6	imagery	n02882301	148.117475	3
147	3	6	evaluation	n02882301	148.117475	3
150	3	6	inter_rest	n02882301	148.117475	3
153	3	7	cue	n03124170	172.212319	4
156	15	7	imagery	n03124170	172.212319	4
171	3	7	evaluation	n03124170	172.212319	4
174	3	7	inter_rest	n03124170	172.212319	4
177	3	8	cue	n01443537	196.106012	5
180	15	8	imagery	n01443537	196.106012	5
195	3	8	evaluation	n01443537	196.106012	5
198	3	8	inter_rest	n01443537	196.106012	5
201	3	9	cue	n02797295	220.483393	4
204	15	9	imagery	n02797295	220.483393	4
219	3	9	evaluation	n02797295	220.483393	4
222	3	9	inter_rest	n02797295	220.483393	4
225	3	10	cue	n03237416	243.724208	3
228	15	10	imagery	n03237416	243.724208	3
243	3	10	evaluation	n03237416	243.724208	3
246	3	10	inter_rest	n03237416	243.724208	3
249	3	11	cue	n02916179	268.251281	4
252	15	11	imagery	n02916179	268.251281	4
267	3	11	evaluation	n02916179	268.251281	4
270	3	11	inter_rest	n02916179	268.251281	4
273	3	12	cue	n04507155	292.410922	5
276	15	12	imagery	n04507155	292.410922	5
291	3	12	evaluation	n04507155	292.410922	5
294	3	12	inter_rest	n04507155	292.410922	5
297	3	13	cue	n01846331	316.604585	3
300	15	13	imagery	n01846331	316.604585	3
315	3	13	evaluation	n01846331	316.604585	3
318	3	13	inter_rest	n01846331	316.604585	3
321	3	14	cue	n04533802	340.397566	5
324	15	14	imagery	n04533802	340.397566	5
339	3	14	evaluation	n04533802	340.397566	5
342	3	14	inter_rest	n04533802	340.397566	5
345	3	15	cue	n02951358	364.474366	5
348	15	15	imagery	n02951358	364.474366	5
363	3	15	evaluation	n02951358	364.474366	5
366	3	15	inter_rest	n02951358	364.474366	5
369	3	16	cue	n02950256	388.818630	4
372	15	16	imagery	n02950256	388.818630	4
387	3	16	evaluation	n02950256	388.818630	4
390	3	16	inter_rest	n02950256	388.818630	4
393	3	17	cue	n01677366	412.579045	4
396	15	17	imagery	n01677366	412.579045	4
411	3	17	evaluation	n01677366	412.579045	4
414	3	17	inter_rest	n01677366	412.579045	4
417	3	18	cue	n03584254	436.422421	5
420	15	18	imagery	n03584254	436.422421	5
435	3	18	evaluation	n03584254	436.422421	5
438	3	18	inter_rest	n03584254	436.422421	5
441	3	19	cue	n01858441	460.650714	4
444	15	19	imagery	n01858441	460.650714	4
459	3	19	evaluation	n01858441	460.650714	4
462	3	19	inter_rest	n01858441	460.650714	4
465	3	20	cue	n01943899	484.174332	4
468	15	20	imagery	n01943899	484.174332	4
483	3	20	evaluation	n01943899	484.174332	4
486	3	20	inter_rest	n01943899	484.174332	4
489	3	21	cue	n04210120	508.767864	4
492	15	21	imagery	n04210120	508.767864	4
507	3	21	evaluation	n04210120	508.767864	4
510	3	21	inter_rest	n04210120	508.767864	4
513	3	22	cue	n02128385	532.377651	3
516	15	22	imagery	n02128385	532.377651	3
531	3	22	evaluation	n02128385	532.377651	3
534	3	22	inter_rest	n02128385	532.377651	3
537	3	23	cue	n02139199	556.504479	4
540	15	23	imagery	n02139199	556.504479	4
555	3	23	evaluation	n02139199	556.504479	4
558	3	23	inter_rest	n02139199	556.504479	4
561	3	24	cue	n02437971	580.183271	4
564	15	24	imagery	n02437971	580.183271	4
579	3	24	evaluation	n02437971	580.183271	4
582	3	24	inter_rest	n02437971	580.183271	4
585	3	25	cue	n03626115	605.208241	3
588	15	25	imagery	n03626115	605.208241	3
603	3	25	evaluation	n03626115	605.208241	3
606	3	25	inter_rest	n03626115	605.208241	3
609	3	26	cue	n03941684	628.350780	4
612	15	26	imagery	n03941684	628.350780	4
627	3	26	evaluation	n03941684	628.350780	4
630	3	26	inter_rest	n03941684	628.350780	4
633	6	27	rest	n/a	n/a	n/a
