onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n04284002_13083.JPEG	0.000000
42	9	3	stimulus	n04320973_15299.JPEG	0.000000
51	9	4	stimulus	n07734744_8647.JPEG	0.000000
60	9	5	stimulus	n07734744_8647.JPEG	61.044860
69	9	6	stimulus	n02769748_52896.JPEG	0.000000
78	9	7	stimulus	n02769748_52896.JPEG	79.035442
87	9	8	stimulus	n04272054_21409.JPEG	0.000000
96	9	9	stimulus	n02480855_16790.JPEG	0.000000
105	9	10	stimulus	n04373894_51904.JPEG	0.000000
114	9	11	stimulus	n02885462_9275.JPEG	0.000000
123	9	12	stimulus	n03602883_10856.JPEG	0.000000
132	9	13	stimulus	n03665924_37592.JPEG	0.000000
141	9	14	stimulus	n02005790_1902.JPEG	0.000000
150	9	15	stimulus	n04555897_18677.JPEG	0.000000
159	9	16	stimulus	n02882647_23990.JPEG	0.000000
168	9	17	stimulus	n04154565_35063.JPEG	0.000000
177	9	18	stimulus	n01855672_15767.JPEG	0.000000
186	9	19	stimulus	n04123740_10780.JPEG	0.000000
195	9	20	stimulus	n04409806_9916.JPEG	0.000000
204	9	21	stimulus	n01770393_12152.JPEG	0.000000
213	9	22	stimulus	n04591713_1761.JPEG	0.000000
222	9	23	stimulus	n03746005_9272.JPEG	0.000000
231	9	24	stimulus	n03467796_5384.JPEG	0.000000
240	9	25	stimulus	n03400231_24528.JPEG	0.000000
249	9	26	stimulus	n03544143_14057.JPEG	0.000000
258	9	27	stimulus	n03359137_21741.JPEG	0.000000
267	9	28	stimulus	n03496296_14114.JPEG	0.000000
276	9	29	stimulus	n03483823_3411.JPEG	0.000000
285	9	30	stimulus	n03886762_11269.JPEG	0.000000
294	9	31	stimulus	n03743279_15645.JPEG	0.000000
303	9	32	stimulus	n03792782_34550.JPEG	0.000000
312	9	33	stimulus	n03445777_4123.JPEG	0.000000
321	9	34	stimulus	n01726692_9090.JPEG	0.000000
330	9	35	stimulus	n03607659_1968.JPEG	0.000000
339	9	36	stimulus	n04612026_2384.JPEG	0.000000
348	9	37	stimulus	n04612026_2384.JPEG	349.034194
357	9	38	stimulus	n02346627_17176.JPEG	0.000000
366	9	39	stimulus	n01963571_11908.JPEG	0.000000
375	9	40	stimulus	n03038480_7843.JPEG	0.000000
384	9	41	stimulus	n01833805_13268.JPEG	0.000000
393	9	42	stimulus	n03512147_23.JPEG	397.487310
402	9	43	stimulus	n02799175_14140.JPEG	0.000000
411	9	44	stimulus	n02799175_14140.JPEG	412.041099
420	9	45	stimulus	n03924679_11484.JPEG	0.000000
429	9	46	stimulus	n03085013_24642.JPEG	0.000000
438	9	47	stimulus	n03646296_9175.JPEG	0.000000
447	9	48	stimulus	n04168199_9781.JPEG	0.000000
456	9	49	stimulus	n04168199_9781.JPEG	457.043134
465	9	50	stimulus	n01772222_13749.JPEG	0.000000
474	9	51	stimulus	n04255586_62.JPEG	0.000000
483	9	52	stimulus	n03079230_36697.JPEG	0.000000
492	9	53	stimulus	n01944390_20670.JPEG	0.000000
501	9	54	stimulus	n02814860_16731.JPEG	0.000000
510	9	55	stimulus	n01768244_7788.JPEG	0.000000
519	9	56	stimulus	n02236241_1360.JPEG	0.000000
528	6	57	rest	null	0.000000
