onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	3623556.012791	n03623556_12791	86	681	n/a
42	9	3	stimulus	2692877.010393	n02692877_10393	40	313	n/a
51	9	4	stimulus	2692877.010393	n02692877_10393	40	313	54.273728
60	9	5	stimulus	3792782.016817	n03792782_16817	96	762	n/a
69	9	6	stimulus	1639765.022407	n01639765_22407	2	9	n/a
78	9	7	stimulus	1704323.005092	n01704323_5092	5	36	n/a
87	9	8	stimulus	4555897.030092	n04555897_30092	139	1109	n/a
96	9	9	stimulus	3445777.010782	n03445777_10782	72	570	n/a
105	9	10	stimulus	2055803.007345	n02055803_7345	20	156	n/a
114	9	11	stimulus	2391049.003228	n02391049_3228	31	244	n/a
123	9	12	stimulus	2374451.014233	n02374451_14233	30	235	n/a
132	9	13	stimulus	2317335.014310	n02317335_14310	28	218	n/a
141	9	14	stimulus	3642806.006122	n03642806_6122	87	696	n/a
150	9	15	stimulus	3642806.006122	n03642806_6122	87	696	151.030218
159	9	16	stimulus	3063599.004061	n03063599_4061	56	444	n/a
168	9	17	stimulus	4409806.005820	n04409806_5820	131	1045	n/a
177	9	18	stimulus	3646296.007798	n03646296_7798	88	703	n/a
186	9	19	stimulus	3425413.020014	n03425413_20014	70	556	n/a
195	9	20	stimulus	2445715.010261	n02445715_10261	34	265	n/a
204	9	21	stimulus	3467796.000862	n03467796_862	73	584	n/a
213	9	22	stimulus	3982430.037727	n03982430_37727	104	829	n/a
222	9	23	stimulus	3394916.019217	n03394916_19217	67	529	n/a
231	9	24	stimulus	3436182.003357	n03436182_3357	71	565	n/a
240	9	25	stimulus	12596148.006386	n12596148_6386	149	1189	n/a
249	9	26	stimulus	1726692.018809	n01726692_18809	6	41	n/a
258	9	27	stimulus	1726692.018809	n01726692_18809	6	41	258.526809
267	9	28	stimulus	2054036.012238	n02054036_12238	19	145	n/a
276	9	29	stimulus	4070727.031219	n04070727_31219	107	855	n/a
285	9	30	stimulus	4255586.000626	n04255586_626	120	959	n/a
294	9	31	stimulus	1944390.019988	n01944390_19988	15	116	n/a
303	9	32	stimulus	4612026.000770	n04612026_770	142	1135	n/a
312	9	33	stimulus	1645776.009576	n01645776_9576	3	22	n/a
321	9	34	stimulus	3255030.007581	n03255030_7581	62	495	n/a
330	9	35	stimulus	3255030.007581	n03255030_7581	62	495	331.038676
339	9	36	stimulus	4180888.004820	n04180888_4820	115	918	n/a
348	9	37	stimulus	4401680.024985	n04401680_24985	129	1028	n/a
357	9	38	stimulus	3472535.008251	n03472535_8251	74	592	n/a
366	9	39	stimulus	2084071.028249	n02084071_28249	22	174	n/a
375	9	40	stimulus	2084071.028249	n02084071_28249	22	174	383.043636
384	9	41	stimulus	3544143.008694	n03544143_8694	81	648	n/a
393	9	42	stimulus	1787835.012357	n01787835_12357	11	85	n/a
402	9	43	stimulus	4233124.017123	n04233124_17123	118	942	n/a
411	9	44	stimulus	2800213.003108	n02800213_3108	44	350	418.493080
420	9	45	stimulus	7734744.005146	n07734744_5146	144	1147	n/a
429	9	46	stimulus	2808440.019589	n02808440_19589	46	363	n/a
438	9	47	stimulus	3886762.010969	n03886762_10969	100	793	n/a
447	9	48	stimulus	2472293.024267	n02472293_24267	35	276	n/a
456	9	49	stimulus	2481823.013867	n02481823_13867	37	290	n/a
465	9	50	stimulus	2998003.006262	n02998003_6262	54	430	n/a
474	9	51	stimulus	1772222.012097	n01772222_12097	9	68	n/a
483	9	52	stimulus	4442441.007248	n04442441_7248	135	1080	n/a
492	9	53	stimulus	13111881.009170	n13111881_9170	150	1200	n/a
501	9	54	stimulus	3335030.026098	n03335030_26098	64	509	n/a
510	9	55	stimulus	4320973.012980	n04320973_12980	125	994	n/a
519	9	56	stimulus	4123740.013353	n04123740_13353	111	883	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
