onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	4507155.021299	0.000000
42	9	3	stimulus	4507155.021299	43.033912
51	9	4	stimulus	3379051.008496	0.000000
60	9	5	stimulus	1943899.024131	0.000000
69	9	6	stimulus	4387400.016693	0.000000
78	9	7	stimulus	4554684.053399	0.000000
87	9	8	stimulus	3710193.022225	0.000000
96	9	9	stimulus	1858441.011077	0.000000
105	9	10	stimulus	4572121.003262	0.000000
114	9	11	stimulus	3064758.038750	0.000000
123	9	12	stimulus	1443537.022563	0.000000
132	9	13	stimulus	2951358.023759	0.000000
141	9	14	stimulus	2951358.023759	142.041642
150	9	15	stimulus	3452741.024622	0.000000
159	9	16	stimulus	3455488.028622	0.000000
168	9	17	stimulus	3455488.028622	169.036395
177	9	18	stimulus	1677366.018182	0.000000
186	9	19	stimulus	2882301.014188	0.000000
195	9	20	stimulus	2190790.015121	0.000000
204	9	21	stimulus	3482252.022530	0.000000
213	9	22	stimulus	3495258.009895	0.000000
222	9	23	stimulus	3584254.005040	0.000000
231	9	24	stimulus	3954393.010038	0.000000
240	9	25	stimulus	3124170.013920	0.000000
249	9	26	stimulus	2437971.005013	0.000000
258	9	27	stimulus	2690373.007713	0.000000
267	9	28	stimulus	4297750.025624	0.000000
276	9	29	stimulus	1621127.019020	0.000000
285	9	30	stimulus	4252077.010859	0.000000
294	9	31	stimulus	2416519.012793	0.000000
303	9	32	stimulus	2916179.024850	0.000000
312	9	33	stimulus	2071294.046212	0.000000
321	9	34	stimulus	4210120.009062	0.000000
330	9	35	stimulus	2797295.015411	0.000000
339	9	36	stimulus	3122295.031279	0.000000
348	9	37	stimulus	3716966.028524	0.000000
357	9	38	stimulus	3626115.019498	0.000000
366	9	39	stimulus	3626115.019498	367.035729
375	9	40	stimulus	2824058.018729	0.000000
384	9	41	stimulus	4533802.019479	0.000000
393	9	42	stimulus	3941684.021672	0.000000
402	9	43	stimulus	2128385.020264	0.000000
411	9	44	stimulus	2437136.012836	0.000000
420	9	45	stimulus	3272010.011001	0.000000
429	9	46	stimulus	1846331.017038	0.000000
438	9	47	stimulus	2274259.024319	0.000000
447	9	48	stimulus	3237416.058334	0.000000
456	9	49	stimulus	3767745.000109	0.000000
465	9	50	stimulus	3761084.043533	0.000000
474	9	51	stimulus	2139199.010398	0.000000
483	9	52	stimulus	2139199.010398	484.034515
492	9	53	stimulus	2950256.022949	0.000000
501	9	54	stimulus	3345837.012501	0.000000
510	9	55	stimulus	1976957.013223	0.000000
519	9	56	stimulus	4254777.016338	0.000000
528	6	57	rest	n/a	0.000000
