onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	3	2	cue	2824058	n02824058	18	52.105865	5.0
36	15	2	imagery	2824058	n02824058	18	52.105865	5.0
51	3	2	evaluation	2824058	n02824058	18	52.105865	5.0
54	3	2	inter_rest	2824058	n02824058	18	52.105865	5.0
57	3	3	cue	2437136	n02437136	14	76.132296	4.0
60	15	3	imagery	2437136	n02437136	14	76.132296	4.0
75	3	3	evaluation	2437136	n02437136	14	76.132296	4.0
78	3	3	inter_rest	2437136	n02437136	14	76.132296	4.0
81	3	4	cue	3761084	n03761084	38	100.391023	4.0
84	15	4	imagery	3761084	n03761084	38	100.391023	4.0
99	3	4	evaluation	3761084	n03761084	38	100.391023	4.0
102	3	4	inter_rest	3761084	n03761084	38	100.391023	4.0
105	3	5	cue	2437971	n02437971	15	125.136182	5.0
108	15	5	imagery	2437971	n02437971	15	125.136182	5.0
123	3	5	evaluation	2437971	n02437971	15	125.136182	5.0
126	3	5	inter_rest	2437971	n02437971	15	125.136182	5.0
129	3	6	cue	4252077	n04252077	43	148.544002	5.0
132	15	6	imagery	4252077	n04252077	43	148.544002	5.0
147	3	6	evaluation	4252077	n04252077	43	148.544002	5.0
150	3	6	inter_rest	4252077	n04252077	43	148.544002	5.0
153	3	7	cue	3452741	n03452741	30	172.904191	4.0
156	15	7	imagery	3452741	n03452741	30	172.904191	4.0
171	3	7	evaluation	3452741	n03452741	30	172.904191	4.0
174	3	7	inter_rest	3452741	n03452741	30	172.904191	4.0
177	3	8	cue	1677366	n01677366	3	196.665436	3.0
180	15	8	imagery	1677366	n01677366	3	196.665436	3.0
195	3	8	evaluation	1677366	n01677366	3	196.665436	3.0
198	3	8	inter_rest	1677366	n01677366	3	196.665436	3.0
201	3	9	cue	3767745	n03767745	39	220.574638	5.0
204	15	9	imagery	3767745	n03767745	39	220.574638	5.0
219	3	9	evaluation	3767745	n03767745	39	220.574638	5.0
222	3	9	inter_rest	3767745	n03767745	39	220.574638	5.0
225	3	10	cue	2690373	n02690373	16	244.567800	5.0
228	15	10	imagery	2690373	n02690373	16	244.567800	5.0
243	3	10	evaluation	2690373	n02690373	16	244.567800	5.0
246	3	10	inter_rest	2690373	n02690373	16	244.567800	5.0
249	3	11	cue	4297750	n04297750	45	268.829289	4.0
252	15	11	imagery	4297750	n04297750	45	268.829289	4.0
267	3	11	evaluation	4297750	n04297750	45	268.829289	4.0
270	3	11	inter_rest	4297750	n04297750	45	268.829289	4.0
273	3	12	cue	1846331	n01846331	4	n/a	1.0
276	15	12	imagery	1846331	n01846331	4	n/a	1.0
291	3	12	evaluation	1846331	n01846331	4	n/a	1.0
294	3	12	inter_rest	1846331	n01846331	4	n/a	1.0
297	3	13	cue	4507155	n04507155	47	316.630659	4.0
300	15	13	imagery	4507155	n04507155	47	316.630659	4.0
315	3	13	evaluation	4507155	n04507155	47	316.630659	4.0
318	3	13	inter_rest	4507155	n04507155	47	316.630659	4.0
321	3	14	cue	3482252	n03482252	32	342.024769	4.0
324	15	14	imagery	3482252	n03482252	32	342.024769	4.0
339	3	14	evaluation	3482252	n03482252	32	342.024769	4.0
