onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	n/a
33	9	2	stimulus	2690373.007713	n02690373_7713	16	16	n/a
42	9	3	stimulus	3379051.008496	n03379051_8496	29	29	n/a
51	9	4	stimulus	2916179.024850	n02916179_24850	20	20	n/a
60	9	5	stimulus	1858441.011077	n01858441_11077	5	5	n/a
69	9	6	stimulus	2128385.020264	n02128385_20264	9	9	n/a
78	9	7	stimulus	2824058.018729	n02824058_18729	18	18	n/a
87	9	8	stimulus	2950256.022949	n02950256_22949	21	21	n/a
96	9	9	stimulus	4507155.021299	n04507155_21299	47	47	n/a
105	9	10	stimulus	4533802.019479	n04533802_19479	48	48	n/a
114	9	11	stimulus	3626115.019498	n03626115_19498	35	35	n/a
123	9	12	stimulus	1621127.019020	n01621127_19020	2	2	n/a
132	9	13	stimulus	2437971.005013	n02437971_5013	15	15	n/a
141	9	14	stimulus	2797295.015411	n02797295_15411	17	17	n/a
150	9	15	stimulus	2797295.015411	n02797295_15411	17	17	151.034332
159	9	16	stimulus	3710193.022225	n03710193_22225	36	36	n/a
168	9	17	stimulus	2437136.012836	n02437136_12836	14	14	n/a
177	9	18	stimulus	3761084.043533	n03761084_43533	38	38	n/a
186	9	19	stimulus	1943899.024131	n01943899_24131	6	6	n/a
195	9	20	stimulus	2190790.015121	n02190790_15121	11	11	n/a
204	9	21	stimulus	3124170.013920	n03124170_13920	25	25	n/a
213	9	22	stimulus	4387400.016693	n04387400_16693	46	46	n/a
222	9	23	stimulus	3452741.024622	n03452741_24622	30	30	n/a
231	9	24	stimulus	2416519.012793	n02416519_12793	13	13	n/a
240	9	25	stimulus	2416519.012793	n02416519_12793	13	13	n/a
249	9	26	stimulus	2882301.014188	n02882301_14188	19	19	n/a
258	9	27	stimulus	3345837.012501	n03345837_12501	28	28	n/a
267	9	28	stimulus	2071294.046212	n02071294_46212	8	8	n/a
276	9	29	stimulus	3064758.038750	n03064758_38750	23	23	n/a
285	9	30	stimulus	3064758.038750	n03064758_38750	23	23	286.040632
294	9	31	stimulus	2274259.024319	n02274259_24319	12	12	n/a
303	9	32	stimulus	1443537.022563	n01443537_22563	1	1	n/a
312	9	33	stimulus	4210120.009062	n04210120_9062	42	42	n/a
321	9	34	stimulus	3767745.000109	n03767745_109	39	39	n/a
330	9	35	stimulus	4554684.053399	n04554684_53399	49	49	n/a
339	9	36	stimulus	4254777.016338	n04254777_16338	44	44	n/a
348	9	37	stimulus	4297750.025624	n04297750_25624	45	45	n/a
357	9	38	stimulus	1846331.017038	n01846331_17038	4	4	n/a
366	9	39	stimulus	4572121.003262	n04572121_3262	50	50	n/a
375	9	40	stimulus	4572121.003262	n04572121_3262	50	50	376.044947
384	9	41	stimulus	1677366.018182	n01677366_18182	3	3	n/a
393	9	42	stimulus	3716966.028524	n03716966_28524	37	37	n/a
402	9	43	stimulus	3584254.005040	n03584254_5040	34	34	n/a
411	9	44	stimulus	1976957.013223	n01976957_13223	7	7	n/a
420	9	45	stimulus	3272010.011001	n03272010_11001	27	27	n/a
429	9	46	stimulus	3455488.028622	n03455488_28622	31	31	n/a
438	9	47	stimulus	3954393.010038	n03954393_10038	41	41	n/a
447	9	48	stimulus	2951358.023759	n02951358_23759	22	22	n/a
456	9	49	stimulus	3495258.009895	n03495258_9895	33	33	n/a
465	9	50	stimulus	4252077.010859	n04252077_10859	43	43	n/a
474	9	51	stimulus	2139199.010398	n02139199_10398	10	10	n/a
483	9	52	stimulus	2139199.010398	n02139199_10398	10	10	n/a
492	9	53	stimulus	3237416.058334	n03237416_58334	26	26	n/a
501	9	54	stimulus	3482252.022530	n03482252_22530	32	32	n/a
510	9	55	stimulus	3122295.031279	n03122295_31279	24	24	n/a
519	9	56	stimulus	3941684.021672	n03941684_21672	40	40	n/a
528	6	57	rest	n/a	n/a	n/a	n/a	n/a
